Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,276852
Percent!!HOUSEHOLDS BY TYPE!!Total households,276852
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,128090
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,53138
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,19.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,24076
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,8.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,7321
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",58077
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",21.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",4394
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",43113
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",15.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",11747
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",66609
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",24.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",10466
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",3.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",40404
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",14.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",16413
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",5.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,84415
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,30.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,75674
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,27.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.54
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.21
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,703591
Percent!!RELATIONSHIP!!Population in households,703591
Estimate!!RELATIONSHIP!!Population in households!!Householder,276852
Percent!!RELATIONSHIP!!Population in households!!Householder,39.3
Estimate!!RELATIONSHIP!!Population in households!!Spouse,127674
Percent!!RELATIONSHIP!!Population in households!!Spouse,18.1
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,24491
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,3.5
Estimate!!RELATIONSHIP!!Population in households!!Child,203932
Percent!!RELATIONSHIP!!Population in households!!Child,29.0
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,47390
Percent!!RELATIONSHIP!!Population in households!!Other relatives,6.7
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,23252
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.3
Estimate!!MARITAL STATUS!!Males 15 years and over,310117
Percent!!MARITAL STATUS!!Males 15 years and over,310117
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,119341
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,38.5
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",149843
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",48.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,4624
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.5
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,5055
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,1.6
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,31254
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,10.1
Estimate!!MARITAL STATUS!!Females 15 years and over,277389
Percent!!MARITAL STATUS!!Females 15 years and over,277389
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,83616
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,30.1
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",135317
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",48.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,4180
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.5
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,17388
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,6.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,36888
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,13.3
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,8757
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,8757
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",2762
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",31.5
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",30
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",52
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",18
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",85
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",27
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,14561
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,14561
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,7391
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,50.8
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,897
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,6.2
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,1349
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,9.3
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,1022
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,7.0
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,4123
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,28.3
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,7391
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,7391
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,4276
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,57.9
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,5325
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,72.0
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,171455
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,171455
"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",9993
"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",5.8
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,8773
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,5.1
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),79363
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),46.3
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),39549
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),23.1
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,33777
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,19.7
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,493892
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,493892
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,11376
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,2.3
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",22085
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",4.5
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),143607
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),29.1
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",115592
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",23.4
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,42025
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,8.5
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,99091
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,20.1
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,60116
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,12.2
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,460431
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,93.2
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,159207
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,32.2
Estimate!!VETERAN STATUS!!Civilian population 18 years and over,536057
Percent!!VETERAN STATUS!!Civilian population 18 years and over,536057
Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,56038
Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,10.5
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,702315
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,702315
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,106126
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,15.1
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,174054
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,174054
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,11553
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,6.6
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,427108
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,427108
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,57861
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,13.5
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,101153
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,101153
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,36712
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,36.3
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,725129
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,725129
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,621389
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,85.7
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),103740
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),14.3
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,98689
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,13.6
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,55610
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,7.7
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,43079
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,5.9
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state,12403
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Same state,1.7
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state,30676
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county!!Different state,4.2
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad,5051
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Abroad,0.7
Estimate!!PLACE OF BIRTH!!Total population,733406
Percent!!PLACE OF BIRTH!!Total population,733406
Estimate!!PLACE OF BIRTH!!Total population!!Native,678835
Percent!!PLACE OF BIRTH!!Total population!!Native,92.6
Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,662794
Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States,90.4
Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,314519
Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!State of residence,42.9
Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,348275
Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in United States!!Different state,47.5
"Estimate!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",16041
"Percent!!PLACE OF BIRTH!!Total population!!Native!!Born in Puerto Rico, U.S. Island areas, or born abroad to American parent(s)",2.2
Estimate!!PLACE OF BIRTH!!Total population!!Foreign-born,54571
Percent!!PLACE OF BIRTH!!Total population!!Foreign-born,7.4
Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population,54571
Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population,54571
Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,34426
Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Naturalized U.S. citizen,63.1
Estimate!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,20145
Percent!!U.S. CITIZENSHIP STATUS!!Foreign-born population!!Not a U.S. citizen,36.9
Estimate!!YEAR OF ENTRY!!Population born outside the United States,70612
Percent!!YEAR OF ENTRY!!Population born outside the United States,70612
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native,16041
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native,16041
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,5102
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered 2010 or later,31.8
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,10939
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Native!!Entered before 2010,68.2
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born,54571
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born,54571
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered 2010 or later,17961
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered 2010 or later,32.9
Estimate!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered before 2010,36610
Percent!!YEAR OF ENTRY!!Population born outside the United States!!Foreign-born!!Entered before 2010,67.1
"Estimate!!WORLD REGION OF BIRTH OF FOREIGN-BORN!!Foreign-born population, excluding population born at sea",54571
