Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,2051545
Percent!!HOUSEHOLDS BY TYPE!!Total households,2051545
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,949532
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,323562
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,15.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,112700
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,5.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,40665
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",371535
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",18.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",20112
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",279378
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",13.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",81627
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",617778
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",30.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",124306
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",6.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",339921
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",166695
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,587241
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,28.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,665456
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,32.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.42
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.02
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,4964454
Percent!!RELATIONSHIP!!Population in households,4964454
Estimate!!RELATIONSHIP!!Population in households!!Householder,2051545
Percent!!RELATIONSHIP!!Population in households!!Householder,41.3
Estimate!!RELATIONSHIP!!Population in households!!Spouse,949593
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.1
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,112601
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.3
Estimate!!RELATIONSHIP!!Population in households!!Child,1380678
Percent!!RELATIONSHIP!!Population in households!!Child,27.8
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,355383
Percent!!RELATIONSHIP!!Population in households!!Other relatives,7.2
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,114654
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.3
Estimate!!MARITAL STATUS!!Males 15 years and over,2004675
Percent!!MARITAL STATUS!!Males 15 years and over,2004675
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,685702
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,34.2
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",1014401
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",50.6
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,27569
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.4
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,63440
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.2
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,213563
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,10.7
Estimate!!MARITAL STATUS!!Females 15 years and over,2178781
Percent!!MARITAL STATUS!!Females 15 years and over,2178781
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,641292
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,29.4
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",997359
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",45.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,47197
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,214063
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,278870
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,12.8
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,60506
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,60506
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",22014
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",36.4
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",32
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",51
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",11
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",93
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",24
