Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,1232871
Percent!!HOUSEHOLDS BY TYPE!!Total households,1232871
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,575802
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,206727
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,16.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,72934
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,5.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,26370
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",238213
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",19.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",17273
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",172864
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",14.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",49460
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",345922
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",28.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",68833
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",195554
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",98128
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,364245
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,29.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,391247
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,31.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.42
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.01
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,2982612
Percent!!RELATIONSHIP!!Population in households,2982612
Estimate!!RELATIONSHIP!!Population in households!!Householder,1232871
Percent!!RELATIONSHIP!!Population in households!!Householder,41.3
Estimate!!RELATIONSHIP!!Population in households!!Spouse,574053
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.2
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,74604
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.5
Estimate!!RELATIONSHIP!!Population in households!!Child,833980
Percent!!RELATIONSHIP!!Population in households!!Child,28.0
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,193938
Percent!!RELATIONSHIP!!Population in households!!Other relatives,6.5
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,73166
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.5
Estimate!!MARITAL STATUS!!Males 15 years and over,1219331
Percent!!MARITAL STATUS!!Males 15 years and over,1219331
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,407700
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,33.4
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",615125
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",50.4
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,17941
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.5
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,40727
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,137838
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,11.3
Estimate!!MARITAL STATUS!!Females 15 years and over,1277202
Percent!!MARITAL STATUS!!Females 15 years and over,1277202
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,353863
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,27.7
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",605460
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",47.4
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,28034
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,122423
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.6
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,167422
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,13.1
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,36877
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,36877
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",12840
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",34.8
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",33
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
