Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,1442969
Percent!!HOUSEHOLDS BY TYPE!!Total households,1442969
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,668432
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,246965
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,17.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,108560
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,7.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,32028
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",253187
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",17.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",14615
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",183656
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",61661
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",412790
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",28.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",74650
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",235350
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",121069
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,400878
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,27.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,491888
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,34.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.44
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.03
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,3513794
Percent!!RELATIONSHIP!!Population in households,3513794
Estimate!!RELATIONSHIP!!Population in households!!Householder,1442969
Percent!!RELATIONSHIP!!Population in households!!Householder,41.1
Estimate!!RELATIONSHIP!!Population in households!!Spouse,666986
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.0
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,109948
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,3.1
Estimate!!RELATIONSHIP!!Population in households!!Child,1007178
Percent!!RELATIONSHIP!!Population in households!!Child,28.7
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,196595
Percent!!RELATIONSHIP!!Population in households!!Other relatives,5.6
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,90118
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.6
