Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,412048
Percent!!HOUSEHOLDS BY TYPE!!Total households,412048
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,196308
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,47.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,61622
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,15.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,25783
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,6773
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,1.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",66831
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",16.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",4077
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",46732
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",11.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",15802
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",123126
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",29.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",22655
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",68735
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",34516
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,110360
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,26.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,153066
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,37.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.45
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.01
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,1008153
Percent!!RELATIONSHIP!!Population in households,1008153
Estimate!!RELATIONSHIP!!Population in households!!Householder,412048
Percent!!RELATIONSHIP!!Population in households!!Householder,40.9
Estimate!!RELATIONSHIP!!Population in households!!Spouse,196202
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.5
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,25835
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.6
Estimate!!RELATIONSHIP!!Population in households!!Child,270755
Percent!!RELATIONSHIP!!Population in households!!Child,26.9
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,73068
Percent!!RELATIONSHIP!!Population in households!!Other relatives,7.2
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,30245
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.0
Estimate!!MARITAL STATUS!!Males 15 years and over,411726
Percent!!MARITAL STATUS!!Males 15 years and over,411726
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,145502
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,35.3
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",213814
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",51.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,3812
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,0.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,12316
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.0
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,36282
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,8.8
Estimate!!MARITAL STATUS!!Females 15 years and over,446564
Percent!!MARITAL STATUS!!Females 15 years and over,446564
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,139701
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,31.3
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",205924
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",46.1
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,5667
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,39325
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,8.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,55947
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,12.5
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12165
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12165
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",3719
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",30.6
