Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,8966402
Percent!!HOUSEHOLDS BY TYPE!!Total households,8966402
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,4213940
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,47.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,1339662
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,14.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,680809
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,7.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,196659
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",1563003
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",17.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",94669
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",1084659
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",397874
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",2508650
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",28.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",402692
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",4.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",1416355
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",765954
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,2313878
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,25.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,3428584
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,38.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.47
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.03
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,22130724
Percent!!RELATIONSHIP!!Population in households,22130724
Estimate!!RELATIONSHIP!!Population in households!!Householder,8966402
Percent!!RELATIONSHIP!!Population in households!!Householder,40.5
Estimate!!RELATIONSHIP!!Population in households!!Spouse,4210905
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.0
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,683737
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,3.1
Estimate!!RELATIONSHIP!!Population in households!!Child,5793643
Percent!!RELATIONSHIP!!Population in households!!Child,26.2
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,1768084
Percent!!RELATIONSHIP!!Population in households!!Other relatives,8.0
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,707953
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.2
Estimate!!MARITAL STATUS!!Males 15 years and over,9281287
Percent!!MARITAL STATUS!!Males 15 years and over,9281287
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,3183616
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,34.3
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",4716766
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",50.8
