Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,4150138
Percent!!HOUSEHOLDS BY TYPE!!Total households,4150138
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,1925665
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,737680
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,17.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,256227
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,82394
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",724071
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",17.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",46771
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",504848
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",137763
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",1244175
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",30.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",253784
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",6.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",643928
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",283403
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",6.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,1282709
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,30.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,1228708
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,29.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.60
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.21
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,10774563
Percent!!RELATIONSHIP!!Population in households,10774563
Estimate!!RELATIONSHIP!!Population in households!!Householder,4150138
Percent!!RELATIONSHIP!!Population in households!!Householder,38.5
Estimate!!RELATIONSHIP!!Population in households!!Spouse,1925473
Percent!!RELATIONSHIP!!Population in households!!Spouse,17.9
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,256344
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.4
Estimate!!RELATIONSHIP!!Population in households!!Child,3229800
Percent!!RELATIONSHIP!!Population in households!!Child,30.0
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,882071
Percent!!RELATIONSHIP!!Population in households!!Other relatives,8.2
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,330737
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.1
Estimate!!MARITAL STATUS!!Males 15 years and over,4326609
Percent!!MARITAL STATUS!!Males 15 years and over,4326609
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,1632198
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,37.7
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",2121816
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",49.0
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,71648
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.7
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,108527
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.5
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,392420
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,9.1
Estimate!!MARITAL STATUS!!Females 15 years and over,4645713
Percent!!MARITAL STATUS!!Females 15 years and over,4645713
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,1534050
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,33.0
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",2071411
