Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,493898
Percent!!HOUSEHOLDS BY TYPE!!Total households,493898
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,248739
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,50.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,88702
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,18.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,36048
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,7.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,12261
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",89942
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",18.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",7015
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",60881
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",24025
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",119169
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",24.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",14817
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",3.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",63254
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",12.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",35148
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",7.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,150555
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,30.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,204249
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,41.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.82
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.38
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,1395010
Percent!!RELATIONSHIP!!Population in households,1395010
Estimate!!RELATIONSHIP!!Population in households!!Householder,493898
Percent!!RELATIONSHIP!!Population in households!!Householder,35.4
Estimate!!RELATIONSHIP!!Population in households!!Spouse,247969
Percent!!RELATIONSHIP!!Population in households!!Spouse,17.8
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,36809
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.6
Estimate!!RELATIONSHIP!!Population in households!!Child,370024
Percent!!RELATIONSHIP!!Population in households!!Child,26.5
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,182327
Percent!!RELATIONSHIP!!Population in households!!Other relatives,13.1
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,63983
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,4.6
Estimate!!MARITAL STATUS!!Males 15 years and over,592437
Percent!!MARITAL STATUS!!Males 15 years and over,592437
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,224708
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,37.9
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",299645
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",50.6
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,6243
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.1
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,13362
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,48479
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,8.2
Estimate!!MARITAL STATUS!!Females 15 years and over,596236
Percent!!MARITAL STATUS!!Females 15 years and over,596236
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,178352
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,29.9
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",291522
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",48.9
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,7430
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,56908
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.5
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,62024
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,10.4
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,19310
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,19310
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",6410
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",33.2
