Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,1833915
Percent!!HOUSEHOLDS BY TYPE!!Total households,1833915
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,767299
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,41.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,275485
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,15.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,121845
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,49264
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",352159
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",19.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",23546
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",265159
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",14.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",77994
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",592612
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",32.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",124328
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",6.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",321397
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",17.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",153064
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,543141
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,29.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,581553
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,31.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.43
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.07
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,4450122
Percent!!RELATIONSHIP!!Population in households,4450122
Estimate!!RELATIONSHIP!!Population in households!!Householder,1833915
Percent!!RELATIONSHIP!!Population in households!!Householder,41.2
Estimate!!RELATIONSHIP!!Population in households!!Spouse,765305
Percent!!RELATIONSHIP!!Population in households!!Spouse,17.2
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,123744
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.8
Estimate!!RELATIONSHIP!!Population in households!!Child,1295674
Percent!!RELATIONSHIP!!Population in households!!Child,29.1
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,327897
Percent!!RELATIONSHIP!!Population in households!!Other relatives,7.4
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,103587
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.3
Estimate!!MARITAL STATUS!!Males 15 years and over,1785074
Percent!!MARITAL STATUS!!Males 15 years and over,1785074
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,695225
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,38.9
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",823585
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",46.1
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,33799
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,52584
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,179881
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,10.1
Estimate!!MARITAL STATUS!!Females 15 years and over,1913324
Percent!!MARITAL STATUS!!Females 15 years and over,1913324
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,641645
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,33.5
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",804727
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",42.1
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,43069
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,179500
