Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,616085
Percent!!HOUSEHOLDS BY TYPE!!Total households,616085
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,294871
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,47.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,88327
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,14.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,59618
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,9.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,14675
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",105482
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",17.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",6821
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",78733
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",27450
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",156114
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",25.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",20085
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",3.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",103961
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",54958
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,142036
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,23.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,224402
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,36.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.20
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,2.71
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,1354209
Percent!!RELATIONSHIP!!Population in households,1354209
Estimate!!RELATIONSHIP!!Population in households!!Householder,616085
Percent!!RELATIONSHIP!!Population in households!!Householder,45.5
Estimate!!RELATIONSHIP!!Population in households!!Spouse,294216
Percent!!RELATIONSHIP!!Population in households!!Spouse,21.7
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,60250
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,4.4
Estimate!!RELATIONSHIP!!Population in households!!Child,301146
Percent!!RELATIONSHIP!!Population in households!!Child,22.2
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,47690
Percent!!RELATIONSHIP!!Population in households!!Other relatives,3.5
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,34822
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.6
Estimate!!MARITAL STATUS!!Males 15 years and over,582831
Percent!!MARITAL STATUS!!Males 15 years and over,582831
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,188982
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,32.4
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",308260
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",52.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,5578
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.0
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,16370
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.8
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,63641
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,10.9
Estimate!!MARITAL STATUS!!Females 15 years and over,614022
Percent!!MARITAL STATUS!!Females 15 years and over,614022
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,159027
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,25.9
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",305678
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",49.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,6513
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.1
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,55960
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.1
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,86844
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,14.1
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12708
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12708
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",3959
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",31.2
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",23
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",43
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",6
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",73
