Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,3538457
Percent!!HOUSEHOLDS BY TYPE!!Total households,3538457
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,1755631
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,49.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,703467
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,19.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,255386
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,7.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,85328
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",557596
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",15.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",28230
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",0.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",388760
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",11.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",131638
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",969844
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",27.4
