Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,856580
Percent!!HOUSEHOLDS BY TYPE!!Total households,856580
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,350569
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,40.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,116970
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,13.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,78054
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,9.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,29794
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,3.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",179067
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",20.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",14836
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",130415
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",15.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",44396
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",5.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",248890
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",29.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",44156
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",142421
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",75647
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,238263
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,27.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,306839
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,35.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.42
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.07
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,2071290
Percent!!RELATIONSHIP!!Population in households,2071290
Estimate!!RELATIONSHIP!!Population in households!!Householder,856580
Percent!!RELATIONSHIP!!Population in households!!Householder,41.4
Estimate!!RELATIONSHIP!!Population in households!!Spouse,350088
Percent!!RELATIONSHIP!!Population in households!!Spouse,16.9
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,78543
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,3.8
Estimate!!RELATIONSHIP!!Population in households!!Child,577117
Percent!!RELATIONSHIP!!Population in households!!Child,27.9
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,159421
Percent!!RELATIONSHIP!!Population in households!!Other relatives,7.7
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,49541
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.4
Estimate!!MARITAL STATUS!!Males 15 years and over,864193
Percent!!MARITAL STATUS!!Males 15 years and over,864193
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,343938
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,39.8
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",386263
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",44.7
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,10515
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.2
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,26439
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.1
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,97038
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,11.2
Estimate!!MARITAL STATUS!!Females 15 years and over,886514
Percent!!MARITAL STATUS!!Females 15 years and over,886514
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,288282
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,32.5
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",374737
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",42.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,15393
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.7
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,76017
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,8.6
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,132085
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,14.9
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,24730
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,24730
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",8533
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",34.5
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",29
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",52
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",20
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",84
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",32
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,47809
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,47809
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,18652
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,39.0
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,3144
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,6.6
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,2084
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,4.4
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,3405
