Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,1589105
Percent!!HOUSEHOLDS BY TYPE!!Total households,1589105
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,735765
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,291095
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,18.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,107765
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,37536
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",304450
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",19.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",24181
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",216544
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",13.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",66956
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",441125
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",27.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",84330
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",250801
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",121798
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",7.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,487823
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,30.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,485809
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,30.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.48
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.09
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,3936442
Percent!!RELATIONSHIP!!Population in households,3936442
Estimate!!RELATIONSHIP!!Population in households!!Householder,1589105
Percent!!RELATIONSHIP!!Population in households!!Householder,40.4
Estimate!!RELATIONSHIP!!Population in households!!Spouse,736730
Percent!!RELATIONSHIP!!Population in households!!Spouse,18.7
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,106956
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.7
Estimate!!RELATIONSHIP!!Population in households!!Child,1146697
Percent!!RELATIONSHIP!!Population in households!!Child,29.1
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,248157
Percent!!RELATIONSHIP!!Population in households!!Other relatives,6.3
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,108797
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.8
Estimate!!MARITAL STATUS!!Males 15 years and over,1610519
Percent!!MARITAL STATUS!!Males 15 years and over,1610519
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,557459
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,34.6
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",793638
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",49.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,23993
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.5
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,52741
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,182688
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,11.3
Estimate!!MARITAL STATUS!!Females 15 years and over,1650941
Percent!!MARITAL STATUS!!Females 15 years and over,1650941
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,456636
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,27.7
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",778780
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",47.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,33796
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.0
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,154044
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,227685
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,13.8
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,51075
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,51075
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",16045
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",31.4
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",32
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",54
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",12
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",96
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",26
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,75897
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,75897
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,35456
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,46.7
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,5403
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,7.1
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,6615
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,8.7
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,5992
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,7.9
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,17446
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,23.0
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,35456
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,35456
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,21046
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,59.4
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,24608
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,69.4
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,1019247
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,1019247
"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",59742
"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",5.9
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,54645
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,5.4
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),448184
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),44.0
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),226736
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),22.2
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,229940
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,22.6
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,2684421
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,2684421
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,103777
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,3.9
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",173340
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",6.5
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),820564
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),30.6
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",594188
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",22.1
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,221742
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,8.3
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,498843
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,18.6
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,271967
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,10.1
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,2407304
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,89.7
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,770810
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,28.7
Estimate!!VETERAN STATUS!!Civilian population 18 years and over,3066036
Percent!!VETERAN STATUS!!Civilian population 18 years and over,3066036
Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,236525
Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,7.7
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,3967096
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,3967096
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,689229
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,17.4
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,964605
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,964605
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,62936
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,6.5
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,2345905
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,2345905
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,363105
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,15.5
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,656586
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,656586
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,263188
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,40.1
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,4011072
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over,4011072
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,3441467
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Same house,85.8
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),569605
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad),14.2
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,553866
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.,13.8
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,280941
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Same county,7.0
Estimate!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,272925
Percent!!RESIDENCE 1 YEAR AGO!!Population 1 year and over!!Different house (in the U.S. or abroad)!!Different house in the U.S.!!Different county,6.8
