Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,378559
Percent!!HOUSEHOLDS BY TYPE!!Total households,378559
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,182163
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,48.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,70163
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,18.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,29412
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,7.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,10170
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",74971
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",19.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",7288
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",57803
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",15.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",16076
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",92013
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",24.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",13655
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",3.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",63893
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",31967
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,110003
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,29.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,116633
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,30.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.34
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,2.99
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,887100
Percent!!RELATIONSHIP!!Population in households,887100
Estimate!!RELATIONSHIP!!Population in households!!Householder,378559
Percent!!RELATIONSHIP!!Population in households!!Householder,42.7
Estimate!!RELATIONSHIP!!Population in households!!Spouse,181946
Percent!!RELATIONSHIP!!Population in households!!Spouse,20.5
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,29627
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,3.3
Estimate!!RELATIONSHIP!!Population in households!!Child,246123
Percent!!RELATIONSHIP!!Population in households!!Child,27.7
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,33532
Percent!!RELATIONSHIP!!Population in households!!Other relatives,3.8
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,17313
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.0
Estimate!!MARITAL STATUS!!Males 15 years and over,373061
Percent!!MARITAL STATUS!!Males 15 years and over,373061
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,131293
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,35.2
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",191655
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",51.4
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,3575
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.0
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,10873
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,35665
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,9.6
Estimate!!MARITAL STATUS!!Females 15 years and over,366165
Percent!!MARITAL STATUS!!Females 15 years and over,366165
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,106384
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,29.1
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",184793
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",50.5
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,5364
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.5
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,30298
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,8.3
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,39326
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,10.7
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12659
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,12659
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",3018
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",23.8
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",28
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",63
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",5
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",125
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",26
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,12217
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,12217
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,5221
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,42.7
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,959
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,7.8
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,1393
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,11.4
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,285
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,2.3
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,2584
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,21.2
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,5221
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,5221
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,3265
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,62.5
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,4008
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,76.8
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,218063
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,218063
"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",13007
"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",6.0
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,12466
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,5.7
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),95861
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),44.0
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),51494
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),23.6
