Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,2889226
Percent!!HOUSEHOLDS BY TYPE!!Total households,2889226
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,1350430
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,46.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,474878
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,16.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,190066
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,63611
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",525242
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",18.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",29390
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",385905
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",13.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",111102
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",823488
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",28.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",142438
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",4.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",470016
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",16.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",222206
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",7.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,813005
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,28.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,908882
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,31.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.42
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.01
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,6978483
Percent!!RELATIONSHIP!!Population in households,6978483
Estimate!!RELATIONSHIP!!Population in households!!Householder,2889226
Percent!!RELATIONSHIP!!Population in households!!Householder,41.4
Estimate!!RELATIONSHIP!!Population in households!!Spouse,1348496
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.3
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,191954
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.8
Estimate!!RELATIONSHIP!!Population in households!!Child,1892330
Percent!!RELATIONSHIP!!Population in households!!Child,27.1
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,476845
Percent!!RELATIONSHIP!!Population in households!!Other relatives,6.8
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,179632
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.6
Estimate!!MARITAL STATUS!!Males 15 years and over,2838565
Percent!!MARITAL STATUS!!Males 15 years and over,2838565
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,962555
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,33.9
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",1448128
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",51.0
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,40784
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.4
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,88211
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,3.1
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,298887
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,10.5
Estimate!!MARITAL STATUS!!Females 15 years and over,3006580
Percent!!MARITAL STATUS!!Females 15 years and over,3006580
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,865575
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,28.8
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",1430034
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",47.6
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,55787
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,1.9
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,269277
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,9.0
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,385907
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,12.8
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,88073
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,88073
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",29703
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",33.7
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",32
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",53
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",9
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",91
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",28
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,150440
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,150440
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,67019
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,44.5
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,10182
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,6.8
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,13108
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,8.7
