Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,11260645
Percent!!HOUSEHOLDS BY TYPE!!Total households,11260645
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,5486996
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,48.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,2322471
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,20.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,712385
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,251351
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",2064660
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",18.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",145638
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",1419592
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",337024
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",2996604
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",26.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",638886
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",5.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",1559586
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",13.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",638831
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",5.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,3785792
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,33.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,3039183
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,27.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.66
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.26
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,29898097
Percent!!RELATIONSHIP!!Population in households,29898097
Estimate!!RELATIONSHIP!!Population in households!!Householder,11260645
Percent!!RELATIONSHIP!!Population in households!!Householder,37.7
Estimate!!RELATIONSHIP!!Population in households!!Spouse,5480334
Percent!!RELATIONSHIP!!Population in households!!Spouse,18.3
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,719051
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.4
Estimate!!RELATIONSHIP!!Population in households!!Child,9309253
Percent!!RELATIONSHIP!!Population in households!!Child,31.1
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,2373536
Percent!!RELATIONSHIP!!Population in households!!Other relatives,7.9
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,755278
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.5
Estimate!!MARITAL STATUS!!Males 15 years and over,12052409
Percent!!MARITAL STATUS!!Males 15 years and over,12052409
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,4454841
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,37.0
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",6130871
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",50.9
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,202829
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.7
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,280098
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.3
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,983770
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,8.2
Estimate!!MARITAL STATUS!!Females 15 years and over,12265334
Percent!!MARITAL STATUS!!Females 15 years and over,12265334
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,3854403
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,31.4
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",5868723
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",47.8
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,271052
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,880947
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,7.2
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,1390209
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,11.3
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,417167
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,417167
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",139849
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",33.5
