Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,1167591
Percent!!HOUSEHOLDS BY TYPE!!Total households,1167591
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,679547
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,58.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,319837
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,27.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,72819
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,19836
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,1.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",182491
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",15.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",13548
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",111551
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",9.6
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",32364
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",2.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",232734
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",19.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",43538
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",3.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",118789
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",10.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",56950
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",4.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,434784
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,37.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,291717
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,25.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.88
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.36
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,3362336
Percent!!RELATIONSHIP!!Population in households,3362336
