Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,3402670
Percent!!HOUSEHOLDS BY TYPE!!Total households,3402670
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,1665817
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,49.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,637827
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,18.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,216907
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,6.4
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,67261
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",589404
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",17.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",42623
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",422627
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",12.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",119847
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",3.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",930542
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",27.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",161446
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",4.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",540363
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",255584
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",7.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,1015686
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,29.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,1064564
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,31.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.49
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,3.07
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,8479742
Percent!!RELATIONSHIP!!Population in households,8479742
Estimate!!RELATIONSHIP!!Population in households!!Householder,3402670
Percent!!RELATIONSHIP!!Population in households!!Householder,40.1
Estimate!!RELATIONSHIP!!Population in households!!Spouse,1661273
Percent!!RELATIONSHIP!!Population in households!!Spouse,19.6
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,221413
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.6
Estimate!!RELATIONSHIP!!Population in households!!Child,2393624
Percent!!RELATIONSHIP!!Population in households!!Child,28.2
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,544772
Percent!!RELATIONSHIP!!Population in households!!Other relatives,6.4
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,255990
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.0
Estimate!!MARITAL STATUS!!Males 15 years and over,3517955
Percent!!MARITAL STATUS!!Males 15 years and over,3517955
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,1254504
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,35.7
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",1823011
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",51.8
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,60042
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.7
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,88963
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.5
Estimate!!MARITAL STATUS!!Males 15 years and over!!Divorced,291435
Percent!!MARITAL STATUS!!Males 15 years and over!!Divorced,8.3
Estimate!!MARITAL STATUS!!Females 15 years and over,3662168
Percent!!MARITAL STATUS!!Females 15 years and over,3662168
Estimate!!MARITAL STATUS!!Females 15 years and over!!Never married,1123861
Percent!!MARITAL STATUS!!Females 15 years and over!!Never married,30.7
"Estimate!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",1759532
"Percent!!MARITAL STATUS!!Females 15 years and over!!Now married, except separated",48.0
Estimate!!MARITAL STATUS!!Females 15 years and over!!Separated,73024
Percent!!MARITAL STATUS!!Females 15 years and over!!Separated,2.0
Estimate!!MARITAL STATUS!!Females 15 years and over!!Widowed,288387
Percent!!MARITAL STATUS!!Females 15 years and over!!Widowed,7.9
Estimate!!MARITAL STATUS!!Females 15 years and over!!Divorced,417364
Percent!!MARITAL STATUS!!Females 15 years and over!!Divorced,11.4
Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,108261
Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months,108261
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",28736
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)",26.5
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",25
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Unmarried women (widowed, divorced, and never married)!!Per 1,000 unmarried women",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",53
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 50 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",11
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 15 to 19 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",85
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 20 to 34 years old",-888888888
"Estimate!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",35
"Percent!!FERTILITY!!Number of women 15 to 50 years old who had a birth in the past 12 months!!Per 1,000 women 35 to 50 years old",-888888888
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,173456
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years,173456
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,62195
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Grandparents responsible for grandchildren,35.9
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,9007
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!Less than 1 year,5.2
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,16981
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!1 or 2 years,9.8
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,8545
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!3 or 4 years,4.9
Estimate!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,27662
Percent!!GRANDPARENTS!!Number of grandparents living with own grandchildren under 18 years!!Years responsible for grandchildren!!5 or more years,15.9
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,62195
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years,62195
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,40383
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are female,64.9
Estimate!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,42329
Percent!!GRANDPARENTS!!Number of grandparents responsible for own grandchildren under 18 years!!Who are married,68.1
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,2096813
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school,2096813
"Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",119069
"Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Nursery school, preschool",5.7
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,99431
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Kindergarten,4.7
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),837207
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!Elementary school (grades 1-8),39.9
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),454384
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!High school (grades 9-12),21.7
Estimate!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,586722
Percent!!SCHOOL ENROLLMENT!!Population 3 years and over enrolled in school!!College or graduate school,28.0
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,6037339
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over,6037339
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,213181
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade,3.5
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",303286
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma",5.0
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),1452078
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency),24.1
"Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",1044919
"Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree",17.3
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,462513
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree,7.7
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,1446760
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree,24.0
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,1114602
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree,18.5
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,5520872
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher,91.4
Estimate!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,2561362
Percent!!EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher,42.4
Estimate!!VETERAN STATUS!!Civilian population 18 years and over,6714203
Percent!!VETERAN STATUS!!Civilian population 18 years and over,6714203
Estimate!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,612622
Percent!!VETERAN STATUS!!Civilian population 18 years and over!!Civilian veterans,9.1
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,8489257
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population,8489257
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,1083216
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Total Civilian Noninstitutionalized Population!!With a disability,12.8
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,1870288
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years,1870288
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,90228
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!Under 18 years!!With a disability,4.8
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,5152711
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years,5152711
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,546194
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!18 to 64 years!!With a disability,10.6
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,1466258
Percent!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over,1466258
Estimate!!DISABILITY STATUS OF THE CIVILIAN NONINSTITUTIONALIZED POPULATION!!65 years and over!!With a disability,446794
