Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,279612
Percent!!HOUSEHOLDS BY TYPE!!Total households,279612
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,132173
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,47.3
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,40578
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,14.5
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,24401
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,8.7
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,5746
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",53487
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",19.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",3480
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",39784
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",14.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",13341
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",4.8
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",69551
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",24.9
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",7105
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",2.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",47857
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",17.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",24868
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",8.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,61168
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,21.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,100031
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,35.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.23
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,2.80
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,622522
Percent!!RELATIONSHIP!!Population in households,622522
Estimate!!RELATIONSHIP!!Population in households!!Householder,279612
Percent!!RELATIONSHIP!!Population in households!!Householder,44.9
Estimate!!RELATIONSHIP!!Population in households!!Spouse,131974
Percent!!RELATIONSHIP!!Population in households!!Spouse,21.2
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,24592
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,4.0
Estimate!!RELATIONSHIP!!Population in households!!Child,144536
Percent!!RELATIONSHIP!!Population in households!!Child,23.2
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,21661
Percent!!RELATIONSHIP!!Population in households!!Other relatives,3.5
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,20147
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,3.2
Estimate!!MARITAL STATUS!!Males 15 years and over,274950
Percent!!MARITAL STATUS!!Males 15 years and over,274950
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,100666
