Label,Value
Estimate!!HOUSEHOLDS BY TYPE!!Total households,247368
Percent!!HOUSEHOLDS BY TYPE!!Total households,247368
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,121639
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household,49.2
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,44831
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Married-couple household!!With children of the householder under 18 years,18.1
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,14616
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household,5.9
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,4911
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Cohabiting couple household!!With children of the householder under 18 years,2.0
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",51159
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present",20.7
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",3658
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!With children of the householder under 18 years",1.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",38393
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone",15.5
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",13224
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Male householder, no spouse/partner present!!Householder living alone!!65 years and over",5.3
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",59954
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present",24.2
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",10236
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!With children of the householder under 18 years",4.1
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",38156
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone",15.4
"Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",18816
"Percent!!HOUSEHOLDS BY TYPE!!Total households!!Female householder, no spouse/partner present!!Householder living alone!!65 years and over",7.6
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,69268
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people under 18 years,28.0
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,81104
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Households with one or more people 65 years and over,32.8
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,2.30
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average household size,-888888888
Estimate!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,2.89
Percent!!HOUSEHOLDS BY TYPE!!Total households!!Average family size,-888888888
Estimate!!RELATIONSHIP!!Population in households,570147
Percent!!RELATIONSHIP!!Population in households,570147
Estimate!!RELATIONSHIP!!Population in households!!Householder,247368
Percent!!RELATIONSHIP!!Population in households!!Householder,43.4
Estimate!!RELATIONSHIP!!Population in households!!Spouse,120435
Percent!!RELATIONSHIP!!Population in households!!Spouse,21.1
Estimate!!RELATIONSHIP!!Population in households!!Unmarried partner,15815
Percent!!RELATIONSHIP!!Population in households!!Unmarried partner,2.8
Estimate!!RELATIONSHIP!!Population in households!!Child,147551
Percent!!RELATIONSHIP!!Population in households!!Child,25.9
Estimate!!RELATIONSHIP!!Population in households!!Other relatives,23488
Percent!!RELATIONSHIP!!Population in households!!Other relatives,4.1
Estimate!!RELATIONSHIP!!Population in households!!Other nonrelatives,15490
Percent!!RELATIONSHIP!!Population in households!!Other nonrelatives,2.7
Estimate!!MARITAL STATUS!!Males 15 years and over,243594
Percent!!MARITAL STATUS!!Males 15 years and over,243594
Estimate!!MARITAL STATUS!!Males 15 years and over!!Never married,79052
Percent!!MARITAL STATUS!!Males 15 years and over!!Never married,32.5
"Estimate!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",130445
"Percent!!MARITAL STATUS!!Males 15 years and over!!Now married, except separated",53.6
Estimate!!MARITAL STATUS!!Males 15 years and over!!Separated,2577
Percent!!MARITAL STATUS!!Males 15 years and over!!Separated,1.1
Estimate!!MARITAL STATUS!!Males 15 years and over!!Widowed,7183
Percent!!MARITAL STATUS!!Males 15 years and over!!Widowed,2.9
