Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,6049109
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,6049109
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3674799
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,60.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3648728
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,60.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3493543
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,57.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,155185
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,26071
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,2374310
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,39.3
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3648728
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3648728
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,3046429
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,3046429
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1711238
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,56.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1707785
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,56.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1627295
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,53.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,452345
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,452345
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,294911
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,65.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1045880
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1045880
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,731051
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,69.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3462617
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3462617
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2321729
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",67.1
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",356475
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",10.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),41863
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),1.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,57562
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,79575
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,605413
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,17.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.7
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,3493543
Percent!!OCCUPATION!!Civilian employed population 16 years and over,3493543
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",1470298
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",42.1
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,588025
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,16.8
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,730838
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,20.9
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",310190
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",8.9
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",394192
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",11.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,3493543
Percent!!INDUSTRY!!Civilian employed population 16 years and over,3493543
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",40774
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.2
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,276793
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,7.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,266997
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,7.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,63559
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,400028
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,11.5
