Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,4818044
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,4818044
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3322899
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,69.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3276030
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,68.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3151694
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,65.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,124336
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,46869
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1495145
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,31.0
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3276030
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3276030
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,2382125
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,2382125
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1542032
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,64.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1535901
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,64.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1475341
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,61.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,356954
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,356954
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,250885
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,70.3
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,802184
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,802184
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,611863
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,76.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3148372
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3148372
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2078162
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",66.0
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",248339
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",7.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),51931
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),1.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,76665
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,67758
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,625517
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,19.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.5
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,3151694
Percent!!OCCUPATION!!Civilian employed population 16 years and over,3151694
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",1553895
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",49.3
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,479684
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.2
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,576985
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,18.3
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",265031
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",8.4
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",276099
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",8.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,3151694
Percent!!INDUSTRY!!Civilian employed population 16 years and over,3151694
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",59222
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,248490
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,7.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,211426
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,6.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,58779
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,313321
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,9.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",160011
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",5.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,82446
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,2.6
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",218616
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",6.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",504863
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",16.0
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",685627
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",21.8
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",302116
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",9.6
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",154960
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",4.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,151817
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,4.8
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,3151694
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,3151694
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,2499887
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,79.3
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,459377
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,14.6
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,184559
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,5.9
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,7871
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,0.2
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,2428261
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,2428261
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",101407
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",4.2
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",60789
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",2.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",119465
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",4.9
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",123823
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",5.1
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",205687
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",8.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",366668
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",15.1
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",315738
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",13.0
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",462995
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",19.1
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",286101
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",11.8
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",385588
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",15.9
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),92911
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),-888888888
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),124578
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),-888888888
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings,1988488
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings,81.9
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),124129
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With earnings!!Mean earnings (dollars),-888888888
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!With Social Security,620963
