Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,2570587
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,2570587
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,1703217
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,66.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,1701453
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,66.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,1654280
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,64.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,47173
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1764
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,867370
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,33.7
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,1701453
Percent!!EMPLOYMENT STATUS!!Civilian labor force,1701453
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1291155
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1291155
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,809000
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,62.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,808635
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,62.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,790232
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,61.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,214756
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,214756
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,160831
