Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,1558313
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,1558313
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,976225
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,62.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,971173
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,936279
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,60.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,34894
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,5052
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,582088
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,37.4
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,971173
Percent!!EMPLOYMENT STATUS!!Civilian labor force,971173
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,779230
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,779230
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,448429
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,57.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,447196
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,57.4
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,430784
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,55.3
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,132173
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,132173
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,80683
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,61.0
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,319040
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,319040
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,216826
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,68.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,924144
Percent!!COMMUTING TO WORK!!Workers 16 years and over,924144
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",655880
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",71.0
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",94327
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",10.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),5657
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,25499
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,17739
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,125042
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,13.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),21.9
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,936279
Percent!!OCCUPATION!!Civilian employed population 16 years and over,936279
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",371737
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",39.7
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,152780
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,16.3
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,181420
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,19.4
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",106693
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",11.4
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",123649
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",13.2
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,936279
Percent!!INDUSTRY!!Civilian employed population 16 years and over,936279
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",33852
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",3.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,88760
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,9.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,92454
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,9.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,18143
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,104131
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,11.1
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",49323
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",5.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,14190
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",51202
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",5.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",102263
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",10.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",208927
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",22.3
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",85863
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",9.2
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",43376
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",4.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,43795
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,4.7
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,936279
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,936279
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,722515
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,77.2
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,139034
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,14.8
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,72412
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,7.7
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,2318
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,0.2
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,733244
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,733244
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",28242
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",3.9
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",19521
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",2.7
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",44535
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",6.1
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",53617
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",7.3
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",84328
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",11.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",136651
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",18.6
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",104076
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",14.2
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",136811
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",18.7
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",62179
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",8.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",63284
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",8.6
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),74942
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),-888888888
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),98653
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Mean household income (dollars),-888888888
