Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,10192179
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,10192179
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,6665114
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,65.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,6642661
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,65.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,6329130
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,62.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,313531
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,3.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,22453
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,3527065
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,34.6
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,6642661
Percent!!EMPLOYMENT STATUS!!Civilian labor force,6642661
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,5202173
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,5202173
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,3189987
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,61.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,3185375
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,61.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,3035213
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,58.3
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,772580
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,772580
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,570551
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,73.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1804870
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1804870
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,1373127
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,76.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,6228796
Percent!!COMMUTING TO WORK!!Workers 16 years and over,6228796
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",4125266
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",66.2
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",514418
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),410906
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),6.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,183304
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,120940
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,873962
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,14.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),28.1
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,6329130
Percent!!OCCUPATION!!Civilian employed population 16 years and over,6329130
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",2771785
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",43.8
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,990789
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.7
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,1206824
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,19.1
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",430906
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",6.8
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",928826
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",14.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,6329130
Percent!!INDUSTRY!!Civilian employed population 16 years and over,6329130
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",67625
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,333370
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,5.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,737266
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,11.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,152428
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,2.4
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,640361
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,10.1
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",445993
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",7.0
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,104014
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.6
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",463840
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",7.3
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",821426
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",13.0
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",1501273
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",23.7
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",527342
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",8.3
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",294574
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",4.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,239618
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,3.8
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,6329130
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,6329130
