Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,5470753
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,5470753
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3521827
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,64.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3515202
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,64.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3387230
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,61.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,127972
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,6625
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1948926
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,35.6
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3515202
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3515202
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,2777493
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,2777493
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1658530
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1657843
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,59.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1596826
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,57.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,466683
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,466683
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,317931
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.1
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1024516
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1024516
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,767570
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,74.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3335367
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3335367
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2547663
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",76.4
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",314983
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",9.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),22959
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,61365
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,42909
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,345488
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,10.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),24.3
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,3387230
Percent!!OCCUPATION!!Civilian employed population 16 years and over,3387230
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",1325172
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",39.1
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,500580
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,14.8
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,627731
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,18.5
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",295723
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",8.7
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",638024
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",18.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,3387230
Percent!!INDUSTRY!!Civilian employed population 16 years and over,3387230
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",40221
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.2
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,222441
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,6.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,599898
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,17.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,71058
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,2.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,355283
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,10.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",201442
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",5.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,39691
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.2
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",182989
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",5.4
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",316814
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",9.4
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",807258
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",23.8
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",261825
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",7.7
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",163104
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",4.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,125206
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,3.7
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,3387230
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,3387230
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,2812994
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,83.0
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,409995
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,12.1
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,157850
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,4.7
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,6391
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,0.2
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,2754881
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,2754881
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",144064
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",5.2
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",97237
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",3.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",193400
