Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,2339516
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,2339516
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,1549558
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,66.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,1527460
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,65.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,1477593
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,63.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,49867
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,22098
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,789958
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,33.8
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,1527460
Percent!!EMPLOYMENT STATUS!!Civilian labor force,1527460
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1171112
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1171112
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,720324
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,61.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,716660
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,61.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,697181
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,59.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,196961
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,196961
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,139095
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,70.6
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,458938
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,458938
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,356729
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,77.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,1477068
Percent!!COMMUTING TO WORK!!Workers 16 years and over,1477068
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",1131816
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",76.6
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",129508
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),6296
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,37057
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,18936
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,153455
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,10.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),20.0
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,1477593
Percent!!OCCUPATION!!Civilian employed population 16 years and over,1477593
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",629396
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",42.6
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,225532
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.3
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,280715
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,19.0
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",134038
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",9.1
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",207912
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",14.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,1477593
Percent!!INDUSTRY!!Civilian employed population 16 years and over,1477593
