Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,3633664
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,3633664
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,2190697
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,60.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,2174801
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,59.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,2085354
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,57.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,89447
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,15896
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1442967
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,39.7
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,2174801
Percent!!EMPLOYMENT STATUS!!Civilian labor force,2174801
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1848012
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1848012
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1038273
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,56.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1036456
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,56.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,992025
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,53.7
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,298888
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,298888
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,204483
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,639412
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,639412
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,458239
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,71.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,2062616
Percent!!COMMUTING TO WORK!!Workers 16 years and over,2062616
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",1581651
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",76.7
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",204881
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",9.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),14057
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,38129
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,28561
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,195337
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,9.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),24.2
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,2085354
Percent!!OCCUPATION!!Civilian employed population 16 years and over,2085354
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",810980
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",38.9
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,320106
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.4
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,407565
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,19.5
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",181365
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",8.7
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",365338
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",17.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,2085354
Percent!!INDUSTRY!!Civilian employed population 16 years and over,2085354
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",35895
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,136769
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,6.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,293122
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,14.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,35440
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,245166
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,11.8
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",137438
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",6.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,23567
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.1
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",121475
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",5.8
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",185911
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",8.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",514250
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",24.7
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",172435
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",8.3
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",93110
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",4.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,90776
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,4.4
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,2085354
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,2085354
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,1660622
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,79.6
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,310485
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,14.9
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,110354
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,5.3
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,3893
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,0.2
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,1853603
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,1853603
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",125182
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",6.8
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",95991
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",5.2
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",164426
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",8.9
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",154098
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",8.3
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",236653
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",12.8
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",317711
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",17.1
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",232750
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",12.6
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",287752
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$100,000 to $149,999",15.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",118773
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$150,000 to $199,999",6.4
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",120267
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$200,000 or more",6.5
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Median household income (dollars),61118
