Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,5828175
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,5828175
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3917076
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,67.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3908554
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,67.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3754447
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,64.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,154107
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,8522
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1911099
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,32.8
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3908554
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3908554
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.9
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,3007412
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,3007412
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1916537
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,63.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1915126
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,63.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1847272
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,61.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,398149
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,398149
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,301591
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,75.7
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,889020
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,889020
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,703925
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,79.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3685099
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3685099
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2314955
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",62.8
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",263563
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",7.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),267972
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),7.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,155235
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,4.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,108493
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,574881
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,15.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),29.9
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,3754447
Percent!!OCCUPATION!!Civilian employed population 16 years and over,3754447
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",1929478
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",51.4
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,601524
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,16.0
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,631650
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,16.8
