Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,8186295
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,8186295
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,5053867
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,61.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,5048334
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,61.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,4822997
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,58.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,225337
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,5533
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,3132428
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,38.3
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,5048334
Percent!!EMPLOYMENT STATUS!!Civilian labor force,5048334
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,4162479
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,4162479
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,2417173
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,58.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,2415985
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,58.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,2312782
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,55.6
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,613817
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,613817
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,425053
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,69.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1396254
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1396254
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,1034160
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,74.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,4737965
Percent!!COMMUTING TO WORK!!Workers 16 years and over,4737965
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",3554623
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",75.0
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",398981
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),43274
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,96074
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,66151
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,578862
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,12.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),24.5
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,4822997
