Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,4602443
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,4602443
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3146576
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,68.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3143975
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,68.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3048320
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,66.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,95655
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,2601
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1455867
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,31.6
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3143975
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3143975
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,2311724
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,2311724
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1502374
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,65.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1502056
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,65.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1460572
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,63.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,379362
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,379362
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,286896
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,75.6
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,869659
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,869659
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,704584
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,81.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3000271
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3000271
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2095433
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",69.8
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",240843
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),51583
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),1.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,77925
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,2.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,50671
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,483816
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,16.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),22.7
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,3048320
Percent!!OCCUPATION!!Civilian employed population 16 years and over,3048320
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",1394150
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",45.7
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,459634
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.1
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,542232
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,17.8
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",235390
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",7.7
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",416914
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",13.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,3048320
Percent!!INDUSTRY!!Civilian employed population 16 years and over,3048320
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",64627
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",2.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,197166
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,6.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,411437
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,13.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,76585
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,2.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,317718
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,10.4
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",146635
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",4.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,43844
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.4
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",209474
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",6.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",321338
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",10.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",788280
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",25.9
