Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,4997010
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,4997010
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3195524
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,63.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3180243
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,63.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3071350
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,61.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,108893
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,15281
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1801486
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,36.1
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3180243
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3180243
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,3.4
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,2558011
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,2558011
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1542392
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,60.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1539324
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,60.2
