Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,2354139
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,2354139
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,1355540
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,57.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,1343059
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,57.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,1278422
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,54.3
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,64637
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,12481
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,998599
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,42.4
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,1343059
Percent!!EMPLOYMENT STATUS!!Civilian labor force,1343059
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1226156
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1226156
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,668442
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,54.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,665294
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,54.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,631918
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,51.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,185119
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,185119
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,128403
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,69.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,439136
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,439136
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,314215
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,71.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,1268449
Percent!!COMMUTING TO WORK!!Workers 16 years and over,1268449
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",1018759
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",80.3
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",130928
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",10.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),2865
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,19338
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,15803
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,80756
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,6.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.2
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,1278422
Percent!!OCCUPATION!!Civilian employed population 16 years and over,1278422
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",455432
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",35.6
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,214404
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,16.8
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,261284
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,20.4
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",125012
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",9.8
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",222290
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",17.4
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,1278422
Percent!!INDUSTRY!!Civilian employed population 16 years and over,1278422
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",26279
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",2.1
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,80144
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,6.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,161908
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,12.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,26141
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,2.0
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,147251
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,11.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",98895
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",7.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,13980
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.1
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",59685
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",4.7
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",102106
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",8.0
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",321724
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",25.2
