Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,924869
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,924869
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,582371
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,63.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,578080
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,562372
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,60.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,15708
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,4291
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,342498
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,37.0
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,578080
Percent!!EMPLOYMENT STATUS!!Civilian labor force,578080
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,458282
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,458282
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,271438
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,270678
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,59.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,263618
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,57.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,62791
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,62791
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,42731
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.1
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,158545
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,158545
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,122132
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,77.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,556134
Percent!!COMMUTING TO WORK!!Workers 16 years and over,556134
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",403075
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",72.5
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",52102
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",9.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),3121
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,23193
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,4.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,11649
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,62994
