Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,8792430
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,8792430
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,5555824
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,63.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,5449906
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,5230146
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,59.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,219760
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,105918
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,3236606
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,36.8
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,5449906
Percent!!EMPLOYMENT STATUS!!Civilian labor force,5449906
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,4541095
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,4541095
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,2658043
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,58.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,2643976
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,58.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,2539825
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,55.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,682712
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,682712
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,470494
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1506395
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1506395
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,1102939
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,73.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,5237672
Percent!!COMMUTING TO WORK!!Workers 16 years and over,5237672
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",3734501
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",71.3
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",447405
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),33703
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),0.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,91542
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,85522
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,844999
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,16.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.3
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,5230146
Percent!!OCCUPATION!!Civilian employed population 16 years and over,5230146
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",2279731
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",43.6
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,804592
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,15.4
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,984034
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,18.8
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",448264
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",8.6
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",713525
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",13.6
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,5230146
Percent!!INDUSTRY!!Civilian employed population 16 years and over,5230146
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",50505
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",1.0
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,379889
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,7.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,614073
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,11.7
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,97379
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,567942
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,10.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",281618
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",5.4
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,79144
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",376827
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",7.2
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",679217
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",13.0
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",1175385
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",22.5
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",454167
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",8.7
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",259167
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Other services, except public administration",5.0
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,214833
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Public administration,4.1
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over,5230146
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over,5230146
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,4210657
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Private wage and salary workers,80.5
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,710882
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Government workers,13.6
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,300257
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Self-employed in own not incorporated business workers,5.7
Estimate!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,8350
Percent!!CLASS OF WORKER!!Civilian employed population 16 years and over!!Unpaid family workers,0.2
Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,4392669
Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households,4392669
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",228947
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!Less than $10,000",5.2
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",159451
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$10,000 to $14,999",3.6
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",307385
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$15,000 to $24,999",7.0
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",330562
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$25,000 to $34,999",7.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",524727
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$35,000 to $49,999",11.9
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",767285
"Percent!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$50,000 to $74,999",17.5
"Estimate!!INCOME AND BENEFITS (IN 2023 INFLATION-ADJUSTED DOLLARS)!!Total households!!$75,000 to $99,999",570652
