Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,622500
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,622500
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,432302
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,69.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,422155
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,67.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,410066
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,65.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,12089
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,10147
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,190198
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,30.6
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,422155
Percent!!EMPLOYMENT STATUS!!Civilian labor force,422155
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.9
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,304072
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,304072
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,198790
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,65.4
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,197759
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,65.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,191391
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,62.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,53766
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,53766
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,40813
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,75.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,116272
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,116272
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,94402
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,81.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,414250
Percent!!COMMUTING TO WORK!!Workers 16 years and over,414250
