Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,1558006
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,1558006
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,1075249
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,69.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,1069514
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,68.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,1041138
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,66.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,28376
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,5735
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,482757
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,31.0
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,1069514
Percent!!EMPLOYMENT STATUS!!Civilian labor force,1069514
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,781831
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,781831
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,506165
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,64.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,505283
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,64.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,491118
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,62.8
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,139685
