Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,1184596
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,1184596
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,787493
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,66.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,786023
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,66.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,765872
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,64.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,20151
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1470
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,397103
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,33.5
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,786023
Percent!!EMPLOYMENT STATUS!!Civilian labor force,786023
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,597185
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,597185
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,375293
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,62.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,375221
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,62.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,366428
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,61.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,72655
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,72655
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,54097
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,74.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,167554
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,167554
