Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,2594279
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,2594279
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,1646984
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,63.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,1631003
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,1556587
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,60.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,74416
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,15981
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,947295
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,36.5
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,1631003
Percent!!EMPLOYMENT STATUS!!Civilian labor force,1631003
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.6
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1294059
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1294059
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,762954
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,759241
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,58.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,723752
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,55.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,200022
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,200022
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,130002
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,65.0
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,452102
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,452102
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,320127
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,70.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,1543818
Percent!!COMMUTING TO WORK!!Workers 16 years and over,1543818
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",1077091
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",69.8
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",187185
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",12.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),35649
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),2.3
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,24585
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,1.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,40929
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,178379
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,11.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.5
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,1556587
Percent!!OCCUPATION!!Civilian employed population 16 years and over,1556587
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",545564
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",35.0
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,336285
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,21.6
