Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,16085030
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,16085030
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,10132536
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,63.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,10107326
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,9600693
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,59.7
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,506633
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,3.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,25210
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,5952494
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,37.0
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,10107326
Percent!!EMPLOYMENT STATUS!!Civilian labor force,10107326
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,5.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,8315945
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,8315945
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,4927987
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.3
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,4923928
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,59.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,4689308
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,56.4
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,1177259
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,1177259
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,833613
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,70.8
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,2547357
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,2547357
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,1887073
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,74.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,9412279
Percent!!COMMUTING TO WORK!!Workers 16 years and over,9412279
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",4621134
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",49.1
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",603323
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",6.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),2213840
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),23.5
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,545495
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,5.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,259365
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,1169122
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,12.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),32.8
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,9600693
Percent!!OCCUPATION!!Civilian employed population 16 years and over,9600693
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",4433988
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",46.2
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,1826819
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,19.0
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,1771141
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,18.4
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",635567
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",6.6
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",933178
