Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,3506067
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,3506067
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,2193069
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,62.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,2190250
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,62.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,2099913
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,59.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,90337
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,2819
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1312998
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,37.4
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,2190250
Percent!!EMPLOYMENT STATUS!!Civilian labor force,2190250
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,1771789
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,1771789
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1031965
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,58.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1031691
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,58.2
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,993594
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,56.1
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,233300
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,233300
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,159850
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,561525
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,561525
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,408138
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,72.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,2060890
Percent!!COMMUTING TO WORK!!Workers 16 years and over,2060890
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",1331130
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",64.6
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",192755
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",9.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),46136
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),2.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,70774
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,3.4
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,56159
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,363936
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,17.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),23.2
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,2099913
Percent!!OCCUPATION!!Civilian employed population 16 years and over,2099913
