Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,916988
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,916988
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,592054
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,64.6
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,587754
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,64.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,559742
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,61.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,28012
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,3.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,4300
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.5
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,324934
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,35.4
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,587754
Percent!!EMPLOYMENT STATUS!!Civilian labor force,587754
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,472651
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,472651
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,282799
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,282103
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,59.7
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,268242
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,56.8
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,64502
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,64502
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,44378
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,68.8
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,128763
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,128763
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,96819
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,75.2
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,549317
Percent!!COMMUTING TO WORK!!Workers 16 years and over,549317
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",400779
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",73.0
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",41728
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",7.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),10327
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),1.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,16698
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,3.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,14840
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,2.7
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,64945
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,11.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),25.6
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Mean travel time to work (minutes),-888888888
Estimate!!OCCUPATION!!Civilian employed population 16 years and over,559742
Percent!!OCCUPATION!!Civilian employed population 16 years and over,559742
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",252609
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Management, business, science, and arts occupations",45.1
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,92905
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Service occupations,16.6
Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,102689
Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Sales and office occupations,18.3
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",39165
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Natural resources, construction, and maintenance occupations",7.0
"Estimate!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",72374
"Percent!!OCCUPATION!!Civilian employed population 16 years and over!!Production, transportation, and material moving occupations",12.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over,559742
Percent!!INDUSTRY!!Civilian employed population 16 years and over,559742
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",4376
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining",0.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,35265
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Construction,6.3
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,61149
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Manufacturing,10.9
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,8546
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Wholesale trade,1.5
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,66507
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Retail trade,11.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",26997
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities",4.8
Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Information,6808
Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Information,1.2
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",36907
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing",6.6
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",66371
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services",11.9
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",146311
"Percent!!INDUSTRY!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance",26.1
"Estimate!!INDUSTRY!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services",50292
