Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,6357108
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,6357108
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,4136441
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,65.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,4069534
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,64.0
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3887150
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,61.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,182384
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,2.9
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,66907
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,1.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,2220667
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,34.9
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,4069534
Percent!!EMPLOYMENT STATUS!!Civilian labor force,4069534
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,4.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,3170977
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,3170977
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1898609
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,59.9
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1886762
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,59.5
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1804034
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,56.9
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,487577
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,487577
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,310199
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,63.6
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1084460
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,1084460
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,769972
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,71.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3863532
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3863532
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2506303
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",64.9
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",344175
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",8.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),154244
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),4.0
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,118498
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Walked,3.1
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,73429
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Other means,1.9
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,666883
Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Worked from home,17.3
