Label,Value
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over,4822901
Percent!!EMPLOYMENT STATUS!!Population 16 years and over,4822901
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,3146602
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force,65.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,3143490
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force,65.2
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,3056531
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Employed,63.4
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,86959
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Civilian labor force!!Unemployed,1.8
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,3112
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!In labor force!!Armed Forces,0.1
Estimate!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,1676299
Percent!!EMPLOYMENT STATUS!!Population 16 years and over!!Not in labor force,34.8
Estimate!!EMPLOYMENT STATUS!!Civilian labor force,3143490
Percent!!EMPLOYMENT STATUS!!Civilian labor force,3143490
Estimate!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,-888888888
Percent!!EMPLOYMENT STATUS!!Civilian labor force!!Unemployment Rate,2.8
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over,2421170
Percent!!EMPLOYMENT STATUS!!Females 16 years and over,2421170
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,1502676
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force,62.1
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,1502130
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force,62.0
Estimate!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,1464849
Percent!!EMPLOYMENT STATUS!!Females 16 years and over!!In labor force!!Civilian labor force!!Employed,60.5
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,360117
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years,360117
Estimate!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,263469
Percent!!EMPLOYMENT STATUS!!Own children of the householder under 6 years!!All parents in family in labor force,73.2
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,834778
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years,834778
Estimate!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,657601
Percent!!EMPLOYMENT STATUS!!Own children of the householder 6 to 17 years!!All parents in family in labor force,78.8
Estimate!!COMMUTING TO WORK!!Workers 16 years and over,3015418
Percent!!COMMUTING TO WORK!!Workers 16 years and over,3015418
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",2257339
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- drove alone",74.9
"Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",229941
"Percent!!COMMUTING TO WORK!!Workers 16 years and over!!Car, truck, or van -- carpooled",7.6
Estimate!!COMMUTING TO WORK!!Workers 16 years and over!!Public transportation (excluding taxicab),33453
