Label,Value
Estimate!!SEX AND AGE!!Total population,5877610
Percent!!SEX AND AGE!!Total population,5877610
Estimate!!SEX AND AGE!!Total population!!Male,2980108
Percent!!SEX AND AGE!!Total population!!Male,50.7
Estimate!!SEX AND AGE!!Total population!!Female,2897502
Percent!!SEX AND AGE!!Total population!!Female,49.3
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),102.9
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,303775
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.2
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,316028
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.4
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,364851
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.2
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,378487
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.4
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,379346
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.5
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,928003
Percent!!SEX AND AGE!!Total population!!25 to 34 years,15.8
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,874611
Percent!!SEX AND AGE!!Total population!!35 to 44 years,14.9
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,713472
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.1
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,317170
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.4
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,357325
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.1
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,579146
Percent!!SEX AND AGE!!Total population!!65 to 74 years,9.9
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,279605
Percent!!SEX AND AGE!!Total population!!75 to 84 years,4.8
Estimate!!SEX AND AGE!!Total population!!85 years and over,85791
Percent!!SEX AND AGE!!Total population!!85 years and over,1.5
Estimate!!SEX AND AGE!!Total population!!Median age (years),37.9
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1210680
Percent!!SEX AND AGE!!Total population!!Under 18 years,20.6
Estimate!!SEX AND AGE!!Total population!!16 years and over,4818044
Percent!!SEX AND AGE!!Total population!!16 years and over,82.0
Estimate!!SEX AND AGE!!Total population!!18 years and over,4666930
Percent!!SEX AND AGE!!Total population!!18 years and over,79.4
Estimate!!SEX AND AGE!!Total population!!21 years and over,4441305
Percent!!SEX AND AGE!!Total population!!21 years and over,75.6
Estimate!!SEX AND AGE!!Total population!!62 years and over,1164621
Percent!!SEX AND AGE!!Total population!!62 years and over,19.8
Estimate!!SEX AND AGE!!Total population!!65 years and over,944542
Percent!!SEX AND AGE!!Total population!!65 years and over,16.1
Estimate!!SEX AND AGE!!Total population!!18 years and over,4666930
Percent!!SEX AND AGE!!Total population!!18 years and over,4666930
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,2355936
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,50.5
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,2310994
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,49.5
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),101.9
