Label,Value
Estimate!!SEX AND AGE!!Total population,1435138
Percent!!SEX AND AGE!!Total population,1435138
Estimate!!SEX AND AGE!!Total population!!Male,719140
Percent!!SEX AND AGE!!Total population!!Male,50.1
Estimate!!SEX AND AGE!!Total population!!Female,715998
Percent!!SEX AND AGE!!Total population!!Female,49.9
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),100.4
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,77420
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.4
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,80863
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.6
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,88182
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.1
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,78043
Percent!!SEX AND AGE!!Total population!!15 to 19 years,5.4
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,85733
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.0
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,185753
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.9
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,192516
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.4
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,167524
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.7
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,84903
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.9
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,90849
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.3
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,166206
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,101195
Percent!!SEX AND AGE!!Total population!!75 to 84 years,7.1
Estimate!!SEX AND AGE!!Total population!!85 years and over,35951
Percent!!SEX AND AGE!!Total population!!85 years and over,2.5
Estimate!!SEX AND AGE!!Total population!!Median age (years),41.4
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,293887
Percent!!SEX AND AGE!!Total population!!Under 18 years,20.5
Estimate!!SEX AND AGE!!Total population!!16 years and over,1172357
Percent!!SEX AND AGE!!Total population!!16 years and over,81.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,1141251
Percent!!SEX AND AGE!!Total population!!18 years and over,79.5
Estimate!!SEX AND AGE!!Total population!!21 years and over,1093745
Percent!!SEX AND AGE!!Total population!!21 years and over,76.2
Estimate!!SEX AND AGE!!Total population!!62 years and over,357726
Percent!!SEX AND AGE!!Total population!!62 years and over,24.9
Estimate!!SEX AND AGE!!Total population!!65 years and over,303352
Percent!!SEX AND AGE!!Total population!!65 years and over,21.1
Estimate!!SEX AND AGE!!Total population!!18 years and over,1141251
Percent!!SEX AND AGE!!Total population!!18 years and over,1141251
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,568153
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,49.8
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,573098
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,50.2
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),99.1
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,303352
Percent!!SEX AND AGE!!Total population!!65 years and over,303352
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,139146
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,45.9
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,164206
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,54.1
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),84.7
