Label,Value
Estimate!!SEX AND AGE!!Total population,6862199
Percent!!SEX AND AGE!!Total population,6862199
Estimate!!SEX AND AGE!!Total population!!Male,3412165
Percent!!SEX AND AGE!!Total population!!Male,49.7
Estimate!!SEX AND AGE!!Total population!!Female,3450034
Percent!!SEX AND AGE!!Total population!!Female,50.3
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),98.9
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,401558
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.9
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,439600
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.4
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,446554
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.5
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,485931
Percent!!SEX AND AGE!!Total population!!15 to 19 years,7.1
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,473586
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.9
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,892860
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.0
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,878779
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.8
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,818503
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.9
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,407227
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.9
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,436033
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.4
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,704321
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,357960
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.2
Estimate!!SEX AND AGE!!Total population!!85 years and over,119287
Percent!!SEX AND AGE!!Total population!!85 years and over,1.7
Estimate!!SEX AND AGE!!Total population!!Median age (years),38.3
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1580906
Percent!!SEX AND AGE!!Total population!!Under 18 years,23.0
Estimate!!SEX AND AGE!!Total population!!16 years and over,5470753
Percent!!SEX AND AGE!!Total population!!16 years and over,79.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,5281293
Percent!!SEX AND AGE!!Total population!!18 years and over,77.0
Estimate!!SEX AND AGE!!Total population!!21 years and over,4990409
Percent!!SEX AND AGE!!Total population!!21 years and over,72.7
Estimate!!SEX AND AGE!!Total population!!62 years and over,1445099
Percent!!SEX AND AGE!!Total population!!62 years and over,21.1
Estimate!!SEX AND AGE!!Total population!!65 years and over,1181568
Percent!!SEX AND AGE!!Total population!!65 years and over,17.2
Estimate!!SEX AND AGE!!Total population!!18 years and over,5281293
Percent!!SEX AND AGE!!Total population!!18 years and over,5281293
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,2594661
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,49.1
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,2686632
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,50.9
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),96.6
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,1181568
Percent!!SEX AND AGE!!Total population!!65 years and over,1181568
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,530686
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,44.9
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,650882
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.1
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),81.5
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,6862199
Percent!!RACE!!Total population,6862199
Estimate!!RACE!!Total population!!One race,6336040
Percent!!RACE!!Total population!!One race,92.3
Estimate!!RACE!!Total population!!Two or More Races,526159
Percent!!RACE!!Total population!!Two or More Races,7.7
Estimate!!RACE!!Total population!!One race,6336040
Percent!!RACE!!Total population!!One race,92.3
Estimate!!RACE!!Total population!!One race!!White,5260706
Percent!!RACE!!Total population!!One race!!White,76.7
Estimate!!RACE!!Total population!!One race!!Black or African American,615423
Percent!!RACE!!Total population!!One race!!Black or African American,9.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,23479
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.3
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,9108
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,145
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,2087
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0
