Label,Value
Estimate!!SEX AND AGE!!Total population,4526154
Percent!!SEX AND AGE!!Total population,4526154
Estimate!!SEX AND AGE!!Total population!!Male,2243690
Percent!!SEX AND AGE!!Total population!!Male,49.6
Estimate!!SEX AND AGE!!Total population!!Female,2282464
Percent!!SEX AND AGE!!Total population!!Female,50.4
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),98.3
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,264633
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.8
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,278400
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.2
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,288926
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.4
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,286721
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.3
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,300199
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.6
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,595668
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.2
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,569759
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.6
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,555908
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.3
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,282757
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.2
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,298415
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.6
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,484578
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.7
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,249142
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.5
Estimate!!SEX AND AGE!!Total population!!85 years and over,71048
Percent!!SEX AND AGE!!Total population!!85 years and over,1.6
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.2
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1011737
Percent!!SEX AND AGE!!Total population!!Under 18 years,22.4
Estimate!!SEX AND AGE!!Total population!!16 years and over,3633664
Percent!!SEX AND AGE!!Total population!!16 years and over,80.3
Estimate!!SEX AND AGE!!Total population!!18 years and over,3514417
Percent!!SEX AND AGE!!Total population!!18 years and over,77.6
Estimate!!SEX AND AGE!!Total population!!21 years and over,3356000
Percent!!SEX AND AGE!!Total population!!21 years and over,74.1
Estimate!!SEX AND AGE!!Total population!!62 years and over,978479
Percent!!SEX AND AGE!!Total population!!62 years and over,21.6
Estimate!!SEX AND AGE!!Total population!!65 years and over,804768
Percent!!SEX AND AGE!!Total population!!65 years and over,17.8
Estimate!!SEX AND AGE!!Total population!!18 years and over,3514417
Percent!!SEX AND AGE!!Total population!!18 years and over,3514417
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,1722879
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,49.0
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,1791538
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.0
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),96.2
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,804768
Percent!!SEX AND AGE!!Total population!!65 years and over,804768
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,362538
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,45.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,442230
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),82.0
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,4526154
Percent!!RACE!!Total population,4526154
Estimate!!RACE!!Total population!!One race,4227749
Percent!!RACE!!Total population!!One race,93.4
Estimate!!RACE!!Total population!!Two or More Races,298405
Percent!!RACE!!Total population!!Two or More Races,6.6
Estimate!!RACE!!Total population!!One race,4227749
Percent!!RACE!!Total population!!One race,93.4
Estimate!!RACE!!Total population!!One race!!White,3735842
Percent!!RACE!!Total population!!One race!!White,82.5
Estimate!!RACE!!Total population!!One race!!Black or African American,337882
Percent!!RACE!!Total population!!One race!!Black or African American,7.5
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,11798
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.3
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,2083
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,235
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,483
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,381
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,0
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,8616
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,0.2
Estimate!!RACE!!Total population!!One race!!Asian,64323
Percent!!RACE!!Total population!!One race!!Asian,1.4
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,16654
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,0.4
