Label,Value
Estimate!!SEX AND AGE!!Total population,6180253
Percent!!SEX AND AGE!!Total population,6180253
Estimate!!SEX AND AGE!!Total population!!Male,3000104
Percent!!SEX AND AGE!!Total population!!Male,48.5
Estimate!!SEX AND AGE!!Total population!!Female,3180149
Percent!!SEX AND AGE!!Total population!!Female,51.5
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),94.3
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,346836
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.6
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,375815
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.1
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,390863
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.3
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,401595
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.5
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,367705
Percent!!SEX AND AGE!!Total population!!20 to 24 years,5.9
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,792152
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.8
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,850476
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.8
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,768211
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.4
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,405301
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.6
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,414661
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.7
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,626076
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.1
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,331257
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.4
Estimate!!SEX AND AGE!!Total population!!85 years and over,109305
Percent!!SEX AND AGE!!Total population!!85 years and over,1.8
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.8
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1358921
Percent!!SEX AND AGE!!Total population!!Under 18 years,22.0
Estimate!!SEX AND AGE!!Total population!!16 years and over,4979552
Percent!!SEX AND AGE!!Total population!!16 years and over,80.6
Estimate!!SEX AND AGE!!Total population!!18 years and over,4821332
Percent!!SEX AND AGE!!Total population!!18 years and over,78.0
Estimate!!SEX AND AGE!!Total population!!21 years and over,4594943
Percent!!SEX AND AGE!!Total population!!21 years and over,74.3
Estimate!!SEX AND AGE!!Total population!!62 years and over,1313309
Percent!!SEX AND AGE!!Total population!!62 years and over,21.3
Estimate!!SEX AND AGE!!Total population!!65 years and over,1066638
Percent!!SEX AND AGE!!Total population!!65 years and over,17.3
Estimate!!SEX AND AGE!!Total population!!18 years and over,4821332
Percent!!SEX AND AGE!!Total population!!18 years and over,4821332
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,2308742
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,47.9
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,2512590
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,52.1
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),91.9
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,1066638
Percent!!SEX AND AGE!!Total population!!65 years and over,1066638
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,468183
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,43.9
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,598455
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,56.1
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),78.2
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,6180253
Percent!!RACE!!Total population,6180253
Estimate!!RACE!!Total population!!One race,5646707
Percent!!RACE!!Total population!!One race,91.4
Estimate!!RACE!!Total population!!Two or More Races,533546
Percent!!RACE!!Total population!!Two or More Races,8.6
Estimate!!RACE!!Total population!!One race,5646707
Percent!!RACE!!Total population!!One race,91.4
Estimate!!RACE!!Total population!!One race!!White,2957430
Percent!!RACE!!Total population!!One race!!White,47.9
Estimate!!RACE!!Total population!!One race!!Black or African American,1803634
Percent!!RACE!!Total population!!One race!!Black or African American,29.2
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,33544
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.5
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,2976
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,390
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,11266
