Label,Value
Estimate!!SEX AND AGE!!Total population,1395722
Percent!!SEX AND AGE!!Total population,1395722
Estimate!!SEX AND AGE!!Total population!!Male,685126
Percent!!SEX AND AGE!!Total population!!Male,49.1
Estimate!!SEX AND AGE!!Total population!!Female,710596
Percent!!SEX AND AGE!!Total population!!Female,50.9
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),96.4
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,59898
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.3
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,66379
Percent!!SEX AND AGE!!Total population!!5 to 9 years,4.8
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,72592
Percent!!SEX AND AGE!!Total population!!10 to 14 years,5.2
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,79986
Percent!!SEX AND AGE!!Total population!!15 to 19 years,5.7
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,77407
Percent!!SEX AND AGE!!Total population!!20 to 24 years,5.5
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,168265
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.1
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,175757
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.6
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,168102
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.0
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,95023
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.8
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,112193
Percent!!SEX AND AGE!!Total population!!60 to 64 years,8.0
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,189807
Percent!!SEX AND AGE!!Total population!!65 to 74 years,13.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,99817
Percent!!SEX AND AGE!!Total population!!75 to 84 years,7.2
Estimate!!SEX AND AGE!!Total population!!85 years and over,30496
Percent!!SEX AND AGE!!Total population!!85 years and over,2.2
Estimate!!SEX AND AGE!!Total population!!Median age (years),44.9
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,245778
Percent!!SEX AND AGE!!Total population!!Under 18 years,17.6
Estimate!!SEX AND AGE!!Total population!!16 years and over,1180683
Percent!!SEX AND AGE!!Total population!!16 years and over,84.6
Estimate!!SEX AND AGE!!Total population!!18 years and over,1149944
Percent!!SEX AND AGE!!Total population!!18 years and over,82.4
Estimate!!SEX AND AGE!!Total population!!21 years and over,1101376
Percent!!SEX AND AGE!!Total population!!21 years and over,78.9
Estimate!!SEX AND AGE!!Total population!!62 years and over,389031
Percent!!SEX AND AGE!!Total population!!62 years and over,27.9
Estimate!!SEX AND AGE!!Total population!!65 years and over,320120
Percent!!SEX AND AGE!!Total population!!65 years and over,22.9
Estimate!!SEX AND AGE!!Total population!!18 years and over,1149944
Percent!!SEX AND AGE!!Total population!!18 years and over,1149944
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,558903
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,48.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,591041
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),94.6
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,320120
Percent!!SEX AND AGE!!Total population!!65 years and over,320120
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,147877
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,46.2
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,172243
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,53.8
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),85.9
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,1395722
Percent!!RACE!!Total population,1395722
Estimate!!RACE!!Total population!!One race,1313519
Percent!!RACE!!Total population!!One race,94.1
Estimate!!RACE!!Total population!!Two or More Races,82203
Percent!!RACE!!Total population!!Two or More Races,5.9
Estimate!!RACE!!Total population!!One race,1313519
Percent!!RACE!!Total population!!One race,94.1
Estimate!!RACE!!Total population!!One race!!White,1257490
Percent!!RACE!!Total population!!One race!!White,90.1
Estimate!!RACE!!Total population!!One race!!Black or African American,24800
Percent!!RACE!!Total population!!One race!!Black or African American,1.8
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,6064
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.4
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999.0
Estimate!!RACE!!Total population!!One race!!Asian,15878
Percent!!RACE!!Total population!!One race!!Asian,1.1
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,1642
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,3344
Percent!!RACE!!Total population!!One race!!Asian!!Chinese,0.2
Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,3588
Percent!!RACE!!Total population!!One race!!Asian!!Filipino,0.3
Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,723
Percent!!RACE!!Total population!!One race!!Asian!!Japanese,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Korean,1884
Percent!!RACE!!Total population!!One race!!Asian!!Korean,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,1705
Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,2992
Percent!!RACE!!Total population!!One race!!Asian!!Other Asian,0.2
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,732
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander,-999999999.0
Estimate!!RACE!!Total population!!One race!!Some Other Race,8555
Percent!!RACE!!Total population!!One race!!Some Other Race,0.6
Estimate!!RACE!!Total population!!Two or More Races,82203
Percent!!RACE!!Total population!!Two or More Races,5.9
Estimate!!RACE!!Total population!!Two or More Races!!White and Black or African American,9312
Percent!!RACE!!Total population!!Two or More Races!!White and Black or African American,0.7
Estimate!!RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native,16261
Percent!!RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native,1.2
