Label,Value
Estimate!!SEX AND AGE!!Total population,5737915
Percent!!SEX AND AGE!!Total population,5737915
Estimate!!SEX AND AGE!!Total population!!Male,2870008
Percent!!SEX AND AGE!!Total population!!Male,50.0
Estimate!!SEX AND AGE!!Total population!!Female,2867907
Percent!!SEX AND AGE!!Total population!!Female,50.0
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),100.1
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,326995
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.7
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,348596
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.1
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,385909
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.7
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,386002
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.7
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,348838
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.1
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,739675
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.9
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,784774
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.7
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,665862
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.6
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,338498
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.9
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,386838
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.7
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,606461
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,305637
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.3
Estimate!!SEX AND AGE!!Total population!!85 years and over,113830
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.1
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1294975
Percent!!SEX AND AGE!!Total population!!Under 18 years,22.6
Estimate!!SEX AND AGE!!Total population!!16 years and over,4602443
Percent!!SEX AND AGE!!Total population!!16 years and over,80.2
Estimate!!SEX AND AGE!!Total population!!18 years and over,4442940
Percent!!SEX AND AGE!!Total population!!18 years and over,77.4
