Label,Value
Estimate!!SEX AND AGE!!Total population,1132812
Percent!!SEX AND AGE!!Total population,1132812
Estimate!!SEX AND AGE!!Total population!!Male,572579
Percent!!SEX AND AGE!!Total population!!Male,50.5
Estimate!!SEX AND AGE!!Total population!!Female,560233
Percent!!SEX AND AGE!!Total population!!Female,49.5
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),102.2
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,55363
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.9
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,68047
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.0
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,69920
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.2
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,68365
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.0
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,75272
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.6
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,144635
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.8
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,150709
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.3
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,125811
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.1
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,64814
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.7
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,77926
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.9
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,141131
Percent!!SEX AND AGE!!Total population!!65 to 74 years,12.5
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,69608
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.1
Estimate!!SEX AND AGE!!Total population!!85 years and over,21211
Percent!!SEX AND AGE!!Total population!!85 years and over,1.9
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.6
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,235562
Percent!!SEX AND AGE!!Total population!!Under 18 years,20.8
Estimate!!SEX AND AGE!!Total population!!16 years and over,924869
Percent!!SEX AND AGE!!Total population!!16 years and over,81.6
Estimate!!SEX AND AGE!!Total population!!18 years and over,897250
Percent!!SEX AND AGE!!Total population!!18 years and over,79.2
Estimate!!SEX AND AGE!!Total population!!21 years and over,852690
Percent!!SEX AND AGE!!Total population!!21 years and over,75.3
Estimate!!SEX AND AGE!!Total population!!62 years and over,278365
Percent!!SEX AND AGE!!Total population!!62 years and over,24.6
Estimate!!SEX AND AGE!!Total population!!65 years and over,231950
Percent!!SEX AND AGE!!Total population!!65 years and over,20.5
Estimate!!SEX AND AGE!!Total population!!18 years and over,897250
Percent!!SEX AND AGE!!Total population!!18 years and over,897250
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,452501
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,50.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,444749
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,49.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),101.7
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,231950
Percent!!SEX AND AGE!!Total population!!65 years and over,231950
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,111445
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,48.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,120505
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,52.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),92.5
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,1132812
Percent!!RACE!!Total population,1132812
Estimate!!RACE!!Total population!!One race,1051255
Percent!!RACE!!Total population!!One race,92.8
Estimate!!RACE!!Total population!!Two or More Races,81557
Percent!!RACE!!Total population!!Two or More Races,7.2
Estimate!!RACE!!Total population!!One race,1051255
Percent!!RACE!!Total population!!One race,92.8
Estimate!!RACE!!Total population!!One race!!White,958655
Percent!!RACE!!Total population!!One race!!White,84.6
Estimate!!RACE!!Total population!!One race!!Black or African American,4767
Percent!!RACE!!Total population!!One race!!Black or African American,0.4
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,63693
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,5.6
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999.0
Estimate!!RACE!!Total population!!One race!!Asian,9266
Percent!!RACE!!Total population!!One race!!Asian,0.8
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,159
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,0.0
Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,2792
Percent!!RACE!!Total population!!One race!!Asian!!Chinese,0.2
Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,2760
Percent!!RACE!!Total population!!One race!!Asian!!Filipino,0.2
Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,722
Percent!!RACE!!Total population!!One race!!Asian!!Japanese,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Korean,850
Percent!!RACE!!Total population!!One race!!Asian!!Korean,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,385
Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese,0.0
Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,1598
Percent!!RACE!!Total population!!One race!!Asian!!Other Asian,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,327
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,0.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,-999999999.0
