Label,Value
Estimate!!SEX AND AGE!!Total population,10835491
Percent!!SEX AND AGE!!Total population,10835491
Estimate!!SEX AND AGE!!Total population!!Male,5312054
Percent!!SEX AND AGE!!Total population!!Male,49.0
Estimate!!SEX AND AGE!!Total population!!Female,5523437
Percent!!SEX AND AGE!!Total population!!Female,51.0
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),96.2
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,594739
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.5
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,641236
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.9
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,658597
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.1
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,729451
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.7
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,723916
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.7
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,1443771
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.3
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,1404906
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.0
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,1353219
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.5
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,675234
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.2
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,695066
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.4
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,1141720
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.5
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,595660
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.5
Estimate!!SEX AND AGE!!Total population!!85 years and over,177976
Percent!!SEX AND AGE!!Total population!!85 years and over,1.6
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.4
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,2322499
Percent!!SEX AND AGE!!Total population!!Under 18 years,21.4
Estimate!!SEX AND AGE!!Total population!!16 years and over,8792430
Percent!!SEX AND AGE!!Total population!!16 years and over,81.1
Estimate!!SEX AND AGE!!Total population!!18 years and over,8512992
Percent!!SEX AND AGE!!Total population!!18 years and over,78.6
Estimate!!SEX AND AGE!!Total population!!21 years and over,8057665
Percent!!SEX AND AGE!!Total population!!21 years and over,74.4
Estimate!!SEX AND AGE!!Total population!!62 years and over,2324497
Percent!!SEX AND AGE!!Total population!!62 years and over,21.5
Estimate!!SEX AND AGE!!Total population!!65 years and over,1915356
Percent!!SEX AND AGE!!Total population!!65 years and over,17.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,8512992
Percent!!SEX AND AGE!!Total population!!18 years and over,8512992
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,4105815
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,48.2
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,4407177
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.8
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),93.2
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,1915356
Percent!!SEX AND AGE!!Total population!!65 years and over,1915356
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,848935
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,44.3
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,1066421
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.7
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),79.6
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,10835491
Percent!!RACE!!Total population,10835491
Estimate!!RACE!!Total population!!One race,9931244
Percent!!RACE!!Total population!!One race,91.7
Estimate!!RACE!!Total population!!Two or More Races,904247
Percent!!RACE!!Total population!!Two or More Races,8.3
Estimate!!RACE!!Total population!!One race,9931244
Percent!!RACE!!Total population!!One race,91.7
Estimate!!RACE!!Total population!!One race!!White,6649865
Percent!!RACE!!Total population!!One race!!White,61.4
Estimate!!RACE!!Total population!!One race!!Black or African American,2183004
Percent!!RACE!!Total population!!One race!!Black or African American,20.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,112791
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,1.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,8089
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,489
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,1963
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,0.0
