Label,Value
Estimate!!SEX AND AGE!!Total population,9290841
Percent!!SEX AND AGE!!Total population,9290841
Estimate!!SEX AND AGE!!Total population!!Male,4573149
Percent!!SEX AND AGE!!Total population!!Male,49.2
Estimate!!SEX AND AGE!!Total population!!Female,4717692
Percent!!SEX AND AGE!!Total population!!Female,50.8
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),96.9
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,518528
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.6
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,538462
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.8
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,587449
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.3
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,582651
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.3
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,552670
Percent!!SEX AND AGE!!Total population!!20 to 24 years,5.9
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,1182680
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.7
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,1238614
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.3
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,1193831
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.8
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,616330
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.6
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,632849
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.8
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,954259
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,514301
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.5
Estimate!!SEX AND AGE!!Total population!!85 years and over,178217
Percent!!SEX AND AGE!!Total population!!85 years and over,1.9
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.4
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,2009165
Percent!!SEX AND AGE!!Total population!!Under 18 years,21.6
