Label,Value
Estimate!!SEX AND AGE!!Total population,2114371
Percent!!SEX AND AGE!!Total population,2114371
Estimate!!SEX AND AGE!!Total population!!Male,1048545
Percent!!SEX AND AGE!!Total population!!Male,49.6
Estimate!!SEX AND AGE!!Total population!!Female,1065826
Percent!!SEX AND AGE!!Total population!!Female,50.4
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),98.4
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,104293
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.9
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,117174
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.5
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,142197
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.7
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,140142
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.6
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,139508
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.6
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,276825
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.1
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,276085
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.1
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,239914
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.3
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,111763
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.3
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,144698
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.8
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,249033
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.8
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,130891
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.2
Estimate!!SEX AND AGE!!Total population!!85 years and over,41848
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.9
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,448558
Percent!!SEX AND AGE!!Total population!!Under 18 years,21.2
