Label,Value
Estimate!!SEX AND AGE!!Total population,19571216
Percent!!SEX AND AGE!!Total population,19571216
Estimate!!SEX AND AGE!!Total population!!Male,9551904
Percent!!SEX AND AGE!!Total population!!Male,48.8
Estimate!!SEX AND AGE!!Total population!!Female,10019312
Percent!!SEX AND AGE!!Total population!!Female,51.2
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),95.3
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,1035708
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.3
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,1060854
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.4
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,1153297
Percent!!SEX AND AGE!!Total population!!10 to 14 years,5.9
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,1203892
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.2
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,1232310
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.3
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,2734288
Percent!!SEX AND AGE!!Total population!!25 to 34 years,14.0
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,2552527
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.0
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,2367063
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.1
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,1280576
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.5
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,1315200
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.7
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,2083076
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,1134122
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.8
Estimate!!SEX AND AGE!!Total population!!85 years and over,418303
Percent!!SEX AND AGE!!Total population!!85 years and over,2.1
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.2
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,3950749
Percent!!SEX AND AGE!!Total population!!Under 18 years,20.2
Estimate!!SEX AND AGE!!Total population!!16 years and over,16085030
Percent!!SEX AND AGE!!Total population!!16 years and over,82.2
Estimate!!SEX AND AGE!!Total population!!18 years and over,15620467
Percent!!SEX AND AGE!!Total population!!18 years and over,79.8
Estimate!!SEX AND AGE!!Total population!!21 years and over,14878507
Percent!!SEX AND AGE!!Total population!!21 years and over,76.0
Estimate!!SEX AND AGE!!Total population!!62 years and over,4427300
Percent!!SEX AND AGE!!Total population!!62 years and over,22.6
Estimate!!SEX AND AGE!!Total population!!65 years and over,3635501
Percent!!SEX AND AGE!!Total population!!65 years and over,18.6
Estimate!!SEX AND AGE!!Total population!!18 years and over,15620467
Percent!!SEX AND AGE!!Total population!!18 years and over,15620467
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,7528357
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,48.2
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,8092110
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.8
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),93.0
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,3635501
Percent!!SEX AND AGE!!Total population!!65 years and over,3635501
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,1607359
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,44.2
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,2028142
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.8
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),79.3
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,19571216
Percent!!RACE!!Total population,19571216
Estimate!!RACE!!Total population!!One race,17520205
Percent!!RACE!!Total population!!One race,89.5
Estimate!!RACE!!Total population!!Two or More Races,2051011
Percent!!RACE!!Total population!!Two or More Races,10.5
Estimate!!RACE!!Total population!!One race,17520205
Percent!!RACE!!Total population!!One race,89.5
Estimate!!RACE!!Total population!!One race!!White,10781005
Percent!!RACE!!Total population!!One race!!White,55.1
Estimate!!RACE!!Total population!!One race!!Black or African American,2801538
Percent!!RACE!!Total population!!One race!!Black or African American,14.3
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,131671
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.7
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,25632
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,1748
