Label,Value
Estimate!!SEX AND AGE!!Total population,4233358
Percent!!SEX AND AGE!!Total population,4233358
Estimate!!SEX AND AGE!!Total population!!Male,2105207
Percent!!SEX AND AGE!!Total population!!Male,49.7
Estimate!!SEX AND AGE!!Total population!!Female,2128151
Percent!!SEX AND AGE!!Total population!!Female,50.3
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),98.9
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,198150
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.7
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,222642
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.3
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,252517
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.0
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,256017
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.0
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,253357
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.0
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,591892
Percent!!SEX AND AGE!!Total population!!25 to 34 years,14.0
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,600748
Percent!!SEX AND AGE!!Total population!!35 to 44 years,14.2
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,522968
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.4
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,239220
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.7
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,267973
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.3
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,492499
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,254325
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.0
Estimate!!SEX AND AGE!!Total population!!85 years and over,81050
Percent!!SEX AND AGE!!Total population!!85 years and over,1.9
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.7
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,829801
Percent!!SEX AND AGE!!Total population!!Under 18 years,19.6
Estimate!!SEX AND AGE!!Total population!!16 years and over,3506067
Percent!!SEX AND AGE!!Total population!!16 years and over,82.8
Estimate!!SEX AND AGE!!Total population!!18 years and over,3403557
Percent!!SEX AND AGE!!Total population!!18 years and over,80.4
Estimate!!SEX AND AGE!!Total population!!21 years and over,3259500
Percent!!SEX AND AGE!!Total population!!21 years and over,77.0
Estimate!!SEX AND AGE!!Total population!!62 years and over,989317
Percent!!SEX AND AGE!!Total population!!62 years and over,23.4
Estimate!!SEX AND AGE!!Total population!!65 years and over,827874
Percent!!SEX AND AGE!!Total population!!65 years and over,19.6
Estimate!!SEX AND AGE!!Total population!!18 years and over,3403557
Percent!!SEX AND AGE!!Total population!!18 years and over,3403557
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,1682731
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,49.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,1720826
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,50.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),97.8
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,827874
Percent!!SEX AND AGE!!Total population!!65 years and over,827874
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,380971
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,46.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,446903
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,54.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),85.2
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,4233358
Percent!!RACE!!Total population,4233358
Estimate!!RACE!!Total population!!One race,3685563
Percent!!RACE!!Total population!!One race,87.1
Estimate!!RACE!!Total population!!Two or More Races,547795
Percent!!RACE!!Total population!!Two or More Races,12.9
Estimate!!RACE!!Total population!!One race,3685563
Percent!!RACE!!Total population!!One race,87.1
Estimate!!RACE!!Total population!!One race!!White,3127198
Percent!!RACE!!Total population!!One race!!White,73.9
Estimate!!RACE!!Total population!!One race!!Black or African American,87406
Percent!!RACE!!Total population!!One race!!Black or African American,2.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,45368
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,1.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,6177
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,236
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,2577
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,0.1
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,30
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,1175
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,0
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,35173
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,0.8
Estimate!!RACE!!Total population!!One race!!Asian,194391
Percent!!RACE!!Total population!!One race!!Asian,4.6
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,24987
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,0.6
Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,45349
Percent!!RACE!!Total population!!One race!!Asian!!Chinese,1.1
Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,27041
Percent!!RACE!!Total population!!One race!!Asian!!Filipino,0.6
Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,13293
Percent!!RACE!!Total population!!One race!!Asian!!Japanese,0.3
Estimate!!RACE!!Total population!!One race!!Asian!!Korean,15173
Percent!!RACE!!Total population!!One race!!Asian!!Korean,0.4
Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,28733
Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese,0.7
Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,39815
Percent!!RACE!!Total population!!One race!!Asian!!Other Asian,0.9
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,15476
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,0.4
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,2508
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,3183
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,2816
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander,6969
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Other Native Hawaiian and Other Pacific Islander,0.2
Estimate!!RACE!!Total population!!One race!!Some Other Race,215724
Percent!!RACE!!Total population!!One race!!Some Other Race,5.1
Estimate!!RACE!!Total population!!Two or More Races,547795
Percent!!RACE!!Total population!!Two or More Races,12.9
Estimate!!RACE!!Total population!!Two or More Races!!White and Black or African American,33197
Percent!!RACE!!Total population!!Two or More Races!!White and Black or African American,0.8
Estimate!!RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native,78757
Percent!!RACE!!Total population!!Two or More Races!!White and American Indian and Alaska Native,1.9
Estimate!!RACE!!Total population!!Two or More Races!!White and Asian,71876
Percent!!RACE!!Total population!!Two or More Races!!White and Asian,1.7
Estimate!!RACE!!Total population!!Two or More Races!!White and Some Other Race,292387
Percent!!RACE!!Total population!!Two or More Races!!White and Some Other Race,6.9
Estimate!!RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native,2911
Percent!!RACE!!Total population!!Two or More Races!!Black or African American and American Indian and Alaska Native,0.1
Estimate!!RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race,4203
Percent!!RACE!!Total population!!Two or More Races!!Black or African American and Some Other Race,0.1
Estimate!!Race alone or in combination with one or more other races!!Total population,4233358
Percent!!Race alone or in combination with one or more other races!!Total population,4233358
Estimate!!Race alone or in combination with one or more other races!!Total population!!White,3653830
Percent!!Race alone or in combination with one or more other races!!Total population!!White,86.3
Estimate!!Race alone or in combination with one or more other races!!Total population!!Black or African American,145643
Percent!!Race alone or in combination with one or more other races!!Total population!!Black or African American,3.4
Estimate!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,162690
Percent!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native,3.8
Estimate!!Race alone or in combination with one or more other races!!Total population!!Asian,288959
Percent!!Race alone or in combination with one or more other races!!Total population!!Asian,6.8
Estimate!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,34950
Percent!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander,0.8
Estimate!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,543675
Percent!!Race alone or in combination with one or more other races!!Total population!!Some Other Race,12.8
Estimate!!HISPANIC OR LATINO AND RACE!!Total population,4233358
Percent!!HISPANIC OR LATINO AND RACE!!Total population,4233358
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),631563
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race),14.9
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,491823
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican,11.6
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,20462
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican,0.5
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,9071
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban,0.2
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,110207
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino,2.6
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,3601795
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino,85.1
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,2997120
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone,70.8
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,82599
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone,2.0
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,25980
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone,0.6
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,191497
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone,4.5
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,14997
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone,0.4
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,26713
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some Other Race alone,0.6
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,262889
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races,6.2
Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race,65539
Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races including Some Other Race,1.5
"Estimate!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races",197350
"Percent!!HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or More Races!!Two races excluding Some Other Race, and three or more races",4.7
Estimate!!Total housing units,1879510
Percent!!Total housing units,-888888888
"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",3212722
"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population",3212722
"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",1580952
"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male",49.2
"Estimate!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",1631770
"Percent!!CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female",50.8
