Label,Value
Estimate!!SEX AND AGE!!Total population,1095962
Percent!!SEX AND AGE!!Total population,1095962
Estimate!!SEX AND AGE!!Total population!!Male,535499
Percent!!SEX AND AGE!!Total population!!Male,48.9
Estimate!!SEX AND AGE!!Total population!!Female,560463
Percent!!SEX AND AGE!!Total population!!Female,51.1
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),95.5
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,52718
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.8
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,58466
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.3
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,55872
Percent!!SEX AND AGE!!Total population!!10 to 14 years,5.1
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,71235
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.5
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,71178
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.5
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,153786
Percent!!SEX AND AGE!!Total population!!25 to 34 years,14.0
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,142930
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.0
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,126538
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.5
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,73372
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.7
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,77491
Percent!!SEX AND AGE!!Total population!!60 to 64 years,7.1
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,123761
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,65227
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.0
Estimate!!SEX AND AGE!!Total population!!85 years and over,23388
Percent!!SEX AND AGE!!Total population!!85 years and over,2.1
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.8
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,203257
Percent!!SEX AND AGE!!Total population!!Under 18 years,18.5
Estimate!!SEX AND AGE!!Total population!!16 years and over,916988
Percent!!SEX AND AGE!!Total population!!16 years and over,83.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,892705
Percent!!SEX AND AGE!!Total population!!18 years and over,81.5
Estimate!!SEX AND AGE!!Total population!!21 years and over,840348
Percent!!SEX AND AGE!!Total population!!21 years and over,76.7
Estimate!!SEX AND AGE!!Total population!!62 years and over,257596
Percent!!SEX AND AGE!!Total population!!62 years and over,23.5
Estimate!!SEX AND AGE!!Total population!!65 years and over,212376
Percent!!SEX AND AGE!!Total population!!65 years and over,19.4
Estimate!!SEX AND AGE!!Total population!!18 years and over,892705
Percent!!SEX AND AGE!!Total population!!18 years and over,892705
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,432072
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,48.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,460633
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),93.8
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,212376
Percent!!SEX AND AGE!!Total population!!65 years and over,212376
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,94345
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,44.4
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,118031
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.6
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),79.9
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,1095962
Percent!!RACE!!Total population,1095962
Estimate!!RACE!!Total population!!One race,948073
Percent!!RACE!!Total population!!One race,86.5
Estimate!!RACE!!Total population!!Two or More Races,147889
Percent!!RACE!!Total population!!Two or More Races,13.5
Estimate!!RACE!!Total population!!One race,948073
Percent!!RACE!!Total population!!One race,86.5
Estimate!!RACE!!Total population!!One race!!White,763493
Percent!!RACE!!Total population!!One race!!White,69.7
Estimate!!RACE!!Total population!!One race!!Black or African American,59714
Percent!!RACE!!Total population!!One race!!Black or African American,5.4
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,8628
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.8
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,-999999999.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,-999999999.0
Estimate!!RACE!!Total population!!One race!!Asian,37419
Percent!!RACE!!Total population!!One race!!Asian,3.4
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,8822
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,0.8
Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,12623
Percent!!RACE!!Total population!!One race!!Asian!!Chinese,1.2
Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,2733
Percent!!RACE!!Total population!!One race!!Asian!!Filipino,0.2
Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,76
Percent!!RACE!!Total population!!One race!!Asian!!Japanese,0.0
Estimate!!RACE!!Total population!!One race!!Asian!!Korean,1443
Percent!!RACE!!Total population!!One race!!Asian!!Korean,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,1481
Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese,0.1
Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,10241
Percent!!RACE!!Total population!!One race!!Asian!!Other Asian,0.9
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,307
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,0.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,-999999999.0
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan,-999999999
