Label,Value
Estimate!!SEX AND AGE!!Total population,919318
Percent!!SEX AND AGE!!Total population,919318
Estimate!!SEX AND AGE!!Total population!!Male,468222
Percent!!SEX AND AGE!!Total population!!Male,50.9
Estimate!!SEX AND AGE!!Total population!!Female,451096
Percent!!SEX AND AGE!!Total population!!Female,49.1
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),103.8
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,54886
Percent!!SEX AND AGE!!Total population!!Under 5 years,6.0
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,61176
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.7
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,64030
Percent!!SEX AND AGE!!Total population!!10 to 14 years,7.0
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,65802
Percent!!SEX AND AGE!!Total population!!15 to 19 years,7.2
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,57907
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.3
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,114987
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.5
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,118255
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.9
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,98654
Percent!!SEX AND AGE!!Total population!!45 to 54 years,10.7
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,55157
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.0
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,58878
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.4
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,103558
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,46809
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.1
Estimate!!SEX AND AGE!!Total population!!85 years and over,19219
Percent!!SEX AND AGE!!Total population!!85 years and over,2.1
Estimate!!SEX AND AGE!!Total population!!Median age (years),38.5
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,218807
Percent!!SEX AND AGE!!Total population!!Under 18 years,23.8
Estimate!!SEX AND AGE!!Total population!!16 years and over,725788
Percent!!SEX AND AGE!!Total population!!16 years and over,78.9
Estimate!!SEX AND AGE!!Total population!!18 years and over,700511
Percent!!SEX AND AGE!!Total population!!18 years and over,76.2
Estimate!!SEX AND AGE!!Total population!!21 years and over,661415
Percent!!SEX AND AGE!!Total population!!21 years and over,71.9
