Label,Value
Estimate!!SEX AND AGE!!Total population,7126489
Percent!!SEX AND AGE!!Total population,7126489
Estimate!!SEX AND AGE!!Total population!!Male,3496995
Percent!!SEX AND AGE!!Total population!!Male,49.1
Estimate!!SEX AND AGE!!Total population!!Female,3629494
Percent!!SEX AND AGE!!Total population!!Female,50.9
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),96.3
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,411032
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.8
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,428094
Percent!!SEX AND AGE!!Total population!!5 to 9 years,6.0
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,442218
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.2
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,452889
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.4
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,460289
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.5
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,978478
Percent!!SEX AND AGE!!Total population!!25 to 34 years,13.7
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,935375
Percent!!SEX AND AGE!!Total population!!35 to 44 years,13.1
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,869841
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.2
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,434374
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.1
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,467303
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.6
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,749345
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.5
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,384222
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.4
Estimate!!SEX AND AGE!!Total population!!85 years and over,113029
Percent!!SEX AND AGE!!Total population!!85 years and over,1.6
Estimate!!SEX AND AGE!!Total population!!Median age (years),39.1
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1563360
Percent!!SEX AND AGE!!Total population!!Under 18 years,21.9
Estimate!!SEX AND AGE!!Total population!!16 years and over,5747865
Percent!!SEX AND AGE!!Total population!!16 years and over,80.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,5563129
Percent!!SEX AND AGE!!Total population!!18 years and over,78.1
Estimate!!SEX AND AGE!!Total population!!21 years and over,5301999
Percent!!SEX AND AGE!!Total population!!21 years and over,74.4
Estimate!!SEX AND AGE!!Total population!!62 years and over,1527244
Percent!!SEX AND AGE!!Total population!!62 years and over,21.4
Estimate!!SEX AND AGE!!Total population!!65 years and over,1246596
Percent!!SEX AND AGE!!Total population!!65 years and over,17.5
Estimate!!SEX AND AGE!!Total population!!18 years and over,5563129
Percent!!SEX AND AGE!!Total population!!18 years and over,5563129
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,2691715
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,48.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,2871414
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,51.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),93.7
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,1246596
Percent!!SEX AND AGE!!Total population!!65 years and over,1246596
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,558709
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,44.8
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,687887
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,55.2
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),81.2
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,7126489
Percent!!RACE!!Total population,7126489
Estimate!!RACE!!Total population!!One race,6597139
Percent!!RACE!!Total population!!One race,92.6
Estimate!!RACE!!Total population!!Two or More Races,529350
Percent!!RACE!!Total population!!Two or More Races,7.4
Estimate!!RACE!!Total population!!One race,6597139
Percent!!RACE!!Total population!!One race,92.6
Estimate!!RACE!!Total population!!One race!!White,5149760
Percent!!RACE!!Total population!!One race!!White,72.3
Estimate!!RACE!!Total population!!One race!!Black or African American,1089441
Percent!!RACE!!Total population!!One race!!Black or African American,15.3
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,24046
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,0.3
