Label,Value
Estimate!!SEX AND AGE!!Total population,647464
Percent!!SEX AND AGE!!Total population,647464
Estimate!!SEX AND AGE!!Total population!!Male,322938
Percent!!SEX AND AGE!!Total population!!Male,49.9
Estimate!!SEX AND AGE!!Total population!!Female,324526
Percent!!SEX AND AGE!!Total population!!Female,50.1
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),99.5
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,27168
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.2
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,29952
Percent!!SEX AND AGE!!Total population!!5 to 9 years,4.6
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,35665
Percent!!SEX AND AGE!!Total population!!10 to 14 years,5.5
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,42725
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.6
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,40699
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.3
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,76173
Percent!!SEX AND AGE!!Total population!!25 to 34 years,11.8
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,81880
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.6
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,76737
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.9
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,41956
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.5
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,51088
Percent!!SEX AND AGE!!Total population!!60 to 64 years,7.9
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,85810
Percent!!SEX AND AGE!!Total population!!65 to 74 years,13.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,44819
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.9
Estimate!!SEX AND AGE!!Total population!!85 years and over,12792
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),43.7
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,114826
Percent!!SEX AND AGE!!Total population!!Under 18 years,17.7
Estimate!!SEX AND AGE!!Total population!!16 years and over,547286
Percent!!SEX AND AGE!!Total population!!16 years and over,84.5
Estimate!!SEX AND AGE!!Total population!!18 years and over,532638
Percent!!SEX AND AGE!!Total population!!18 years and over,82.3
Estimate!!SEX AND AGE!!Total population!!21 years and over,501345
Percent!!SEX AND AGE!!Total population!!21 years and over,77.4
Estimate!!SEX AND AGE!!Total population!!62 years and over,173657
Percent!!SEX AND AGE!!Total population!!62 years and over,26.8
Estimate!!SEX AND AGE!!Total population!!65 years and over,143421
Percent!!SEX AND AGE!!Total population!!65 years and over,22.2
Estimate!!SEX AND AGE!!Total population!!18 years and over,532638
Percent!!SEX AND AGE!!Total population!!18 years and over,532638
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,263193
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,49.4
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,269445
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,50.6
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),97.7
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,143421
Percent!!SEX AND AGE!!Total population!!65 years and over,143421
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,67234
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,46.9
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,76187
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,53.1
