Label,Value
Estimate!!SEX AND AGE!!Total population,7812880
Percent!!SEX AND AGE!!Total population,7812880
Estimate!!SEX AND AGE!!Total population!!Male,3933977
Percent!!SEX AND AGE!!Total population!!Male,50.4
Estimate!!SEX AND AGE!!Total population!!Female,3878903
Percent!!SEX AND AGE!!Total population!!Female,49.6
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),101.4
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,417322
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.3
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,460067
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.9
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,480293
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.1
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,468878
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.0
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,475123
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.1
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,1178336
Percent!!SEX AND AGE!!Total population!!25 to 34 years,15.1
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,1141668
Percent!!SEX AND AGE!!Total population!!35 to 44 years,14.6
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,933149
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.9
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,435575
Percent!!SEX AND AGE!!Total population!!55 to 59 years,5.6
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,483339
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.2
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,802069
Percent!!SEX AND AGE!!Total population!!65 to 74 years,10.3
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,405092
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.2
Estimate!!SEX AND AGE!!Total population!!85 years and over,131969
Percent!!SEX AND AGE!!Total population!!85 years and over,1.7
Estimate!!SEX AND AGE!!Total population!!Median age (years),38.6
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,1647192
Percent!!SEX AND AGE!!Total population!!Under 18 years,21.1
Estimate!!SEX AND AGE!!Total population!!16 years and over,6357108
Percent!!SEX AND AGE!!Total population!!16 years and over,81.4
Estimate!!SEX AND AGE!!Total population!!18 years and over,6165688
Percent!!SEX AND AGE!!Total population!!18 years and over,78.9
Estimate!!SEX AND AGE!!Total population!!21 years and over,5897062
Percent!!SEX AND AGE!!Total population!!21 years and over,75.5
Estimate!!SEX AND AGE!!Total population!!62 years and over,1625675
Percent!!SEX AND AGE!!Total population!!62 years and over,20.8
Estimate!!SEX AND AGE!!Total population!!65 years and over,1339130
Percent!!SEX AND AGE!!Total population!!65 years and over,17.1
Estimate!!SEX AND AGE!!Total population!!18 years and over,6165688
Percent!!SEX AND AGE!!Total population!!18 years and over,6165688
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Male,3087245
Percent!!SEX AND AGE!!Total population!!18 years and over!!Male,50.1
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Female,3078443
Percent!!SEX AND AGE!!Total population!!18 years and over!!Female,49.9
Estimate!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),100.3
Percent!!SEX AND AGE!!Total population!!18 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!65 years and over,1339130
Percent!!SEX AND AGE!!Total population!!65 years and over,1339130
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Male,615689
Percent!!SEX AND AGE!!Total population!!65 years and over!!Male,46.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Female,723441
Percent!!SEX AND AGE!!Total population!!65 years and over!!Female,54.0
Estimate!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),85.1
Percent!!SEX AND AGE!!Total population!!65 years and over!!Sex ratio (males per 100 females),-888888888
Estimate!!RACE!!Total population,7812880
Percent!!RACE!!Total population,7812880
Estimate!!RACE!!Total population!!One race,6788635
Percent!!RACE!!Total population!!One race,86.9
Estimate!!RACE!!Total population!!Two or More Races,1024245
Percent!!RACE!!Total population!!Two or More Races,13.1
Estimate!!RACE!!Total population!!One race,6788635
Percent!!RACE!!Total population!!One race,86.9
Estimate!!RACE!!Total population!!One race!!White,5092864
Percent!!RACE!!Total population!!One race!!White,65.2
Estimate!!RACE!!Total population!!One race!!Black or African American,315904
Percent!!RACE!!Total population!!One race!!Black or African American,4.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native,95073
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native,1.2
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,12686
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Aztec,0.2
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,857
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Blackfeet Tribe of the Blackfeet Indian Reservation of Montana,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,1679
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Maya,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Native Village of Barrow Inupiat Traditional Government,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,2273
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Navajo Nation,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,287
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Nome Eskimo Community,0.0
Estimate!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,77291
Percent!!RACE!!Total population!!One race!!American Indian and Alaska Native!!Other American Indian and Alaska Native,1.0
Estimate!!RACE!!Total population!!One race!!Asian,780684
Percent!!RACE!!Total population!!One race!!Asian,10.0
Estimate!!RACE!!Total population!!One race!!Asian!!Asian Indian,169902
Percent!!RACE!!Total population!!One race!!Asian!!Asian Indian,2.2
Estimate!!RACE!!Total population!!One race!!Asian!!Chinese,187686
Percent!!RACE!!Total population!!One race!!Asian!!Chinese,2.4
Estimate!!RACE!!Total population!!One race!!Asian!!Filipino,112730
Percent!!RACE!!Total population!!One race!!Asian!!Filipino,1.4
Estimate!!RACE!!Total population!!One race!!Asian!!Japanese,35696
Percent!!RACE!!Total population!!One race!!Asian!!Japanese,0.5
Estimate!!RACE!!Total population!!One race!!Asian!!Korean,72632
Percent!!RACE!!Total population!!One race!!Asian!!Korean,0.9
Estimate!!RACE!!Total population!!One race!!Asian!!Vietnamese,82864
Percent!!RACE!!Total population!!One race!!Asian!!Vietnamese,1.1
Estimate!!RACE!!Total population!!One race!!Asian!!Other Asian,119174
Percent!!RACE!!Total population!!One race!!Asian!!Other Asian,1.5
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,57334
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander,0.7
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,10076
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Chamorro,0.1
Estimate!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,5490
Percent!!RACE!!Total population!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian,0.1
