Label,Value
Estimate!!SEX AND AGE!!Total population,5910955
Percent!!SEX AND AGE!!Total population,5910955
Estimate!!SEX AND AGE!!Total population!!Male,2959408
Percent!!SEX AND AGE!!Total population!!Male,50.1
Estimate!!SEX AND AGE!!Total population!!Female,2951547
Percent!!SEX AND AGE!!Total population!!Female,49.9
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),100.3
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,307874
Percent!!SEX AND AGE!!Total population!!Under 5 years,5.2
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,347068
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.9
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,354836
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.0
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,389433
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.6
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,395528
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.7
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,741724
Percent!!SEX AND AGE!!Total population!!25 to 34 years,12.5
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,751404
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.7
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,688521
Percent!!SEX AND AGE!!Total population!!45 to 54 years,11.6
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,381987
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.5
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,419185
Percent!!SEX AND AGE!!Total population!!60 to 64 years,7.1
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,684685
Percent!!SEX AND AGE!!Total population!!65 to 74 years,11.6
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,331373
Percent!!SEX AND AGE!!Total population!!75 to 84 years,5.6
Estimate!!SEX AND AGE!!Total population!!85 years and over,117337
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),40.5
