Label,Value
Estimate!!SEX AND AGE!!Total population,1770071
Percent!!SEX AND AGE!!Total population,1770071
Estimate!!SEX AND AGE!!Total population!!Male,882631
Percent!!SEX AND AGE!!Total population!!Male,49.9
Estimate!!SEX AND AGE!!Total population!!Female,887440
Percent!!SEX AND AGE!!Total population!!Female,50.1
Estimate!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),99.5
Percent!!SEX AND AGE!!Total population!!Sex ratio (males per 100 females),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 5 years,87453
Percent!!SEX AND AGE!!Total population!!Under 5 years,4.9
Estimate!!SEX AND AGE!!Total population!!5 to 9 years,92813
Percent!!SEX AND AGE!!Total population!!5 to 9 years,5.2
Estimate!!SEX AND AGE!!Total population!!10 to 14 years,106431
Percent!!SEX AND AGE!!Total population!!10 to 14 years,6.0
Estimate!!SEX AND AGE!!Total population!!15 to 19 years,112145
Percent!!SEX AND AGE!!Total population!!15 to 19 years,6.3
Estimate!!SEX AND AGE!!Total population!!20 to 24 years,112010
Percent!!SEX AND AGE!!Total population!!20 to 24 years,6.3
Estimate!!SEX AND AGE!!Total population!!25 to 34 years,206253
Percent!!SEX AND AGE!!Total population!!25 to 34 years,11.7
Estimate!!SEX AND AGE!!Total population!!35 to 44 years,213616
Percent!!SEX AND AGE!!Total population!!35 to 44 years,12.1
Estimate!!SEX AND AGE!!Total population!!45 to 54 years,222373
Percent!!SEX AND AGE!!Total population!!45 to 54 years,12.6
Estimate!!SEX AND AGE!!Total population!!55 to 59 years,115584
Percent!!SEX AND AGE!!Total population!!55 to 59 years,6.5
Estimate!!SEX AND AGE!!Total population!!60 to 64 years,121201
Percent!!SEX AND AGE!!Total population!!60 to 64 years,6.8
Estimate!!SEX AND AGE!!Total population!!65 to 74 years,225417
Percent!!SEX AND AGE!!Total population!!65 to 74 years,12.7
Estimate!!SEX AND AGE!!Total population!!75 to 84 years,119715
Percent!!SEX AND AGE!!Total population!!75 to 84 years,6.8
Estimate!!SEX AND AGE!!Total population!!85 years and over,35060
Percent!!SEX AND AGE!!Total population!!85 years and over,2.0
Estimate!!SEX AND AGE!!Total population!!Median age (years),42.8
Percent!!SEX AND AGE!!Total population!!Median age (years),-888888888
Estimate!!SEX AND AGE!!Total population!!Under 18 years,351642
Percent!!SEX AND AGE!!Total population!!Under 18 years,19.9
Estimate!!SEX AND AGE!!Total population!!16 years and over,1464056
Percent!!SEX AND AGE!!Total population!!16 years and over,82.7
Estimate!!SEX AND AGE!!Total population!!18 years and over,1418429
Percent!!SEX AND AGE!!Total population!!18 years and over,80.1
Estimate!!SEX AND AGE!!Total population!!21 years and over,1345507
Percent!!SEX AND AGE!!Total population!!21 years and over,76.0
Estimate!!SEX AND AGE!!Total population!!62 years and over,450145
Percent!!SEX AND AGE!!Total population!!62 years and over,25.4
Estimate!!SEX AND AGE!!Total population!!65 years and over,380192
Percent!!SEX AND AGE!!Total population!!65 years and over,21.5
Estimate!!SEX AND AGE!!Total population!!18 years and over,1418429
